experiment_num,candidates_origin_type,candidates_coref_extraction_strategy,candidates_change_head,candidates_phrase_extension,dataset,candidates_annot_index,entities_method,entities_param_source,entities_custom_file_id,entities_word_vectors
9,annotated,NO_COREF,orig,asis,newswcl50,0,lemma,default,0,
1,annotated,one_doc,orig,asis,newswcl50,0,eecdcr,default,0,elmo
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,word2vec
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,glove
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,fasttext
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,tca_impr,default,0,word2vec
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,tca_impr,default,0,glove
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,tca_impr,default,0,fasttext
7,annotated,one_doc,NON_NUMBER,EXTENDED,newswcl50,0,tca_impr,default,0,word2vec
5,annotated,one_doc,NON_NUMBER,EXTENDED,newswcl50,0,tca_orig,default,0,word2vec
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref_hc,default,0,word2vec
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref_hc,default,0,glove
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref_hc,default,0,fasttext
9,annotated,NO_COREF,orig,asis,ecb,0,lemma,default,0,
1,annotated,one_doc,orig,asis,ecb,0,eecdcr,default,0,elmo
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref_hc,default,0,word2vec
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref_hc,default,0,glove
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref_hc,default,0,fasttext
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref,default,0,word2vec
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref,default,0,glove
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref,default,0,fasttext
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,tca_impr,default,0,word2vec
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,tca_impr,default,0,glove
1,annotated,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,tca_impr,default,0,fasttext
7,annotated,one_doc,NON_NUMBER,EXTENDED,ecb,0,tca_impr,default,0,word2vec
5,annotated,one_doc,NON_NUMBER,EXTENDED,ecb,0,tca_orig,default,0,word2vec
1,EXTRACTED_ANNOTATED,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,fasttext
1,EXTRACTED_ANNOTATED,MULTI_DOC,NON_NUMBER,EXTENDED,newswcl50,0,xcoref,default,0,glove
1,EXTRACTED_ANNOTATED,one_doc,orig,asis,newswcl50,0,eecdcr,default,0,elmo
1,EXTRACTED_ANNOTATED,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref,default,0,fasttext
1,EXTRACTED_ANNOTATED,MULTI_DOC,NON_NUMBER,EXTENDED,ecb,0,xcoref,default,0,glove
1,EXTRACTED_ANNOTATED,one_doc,orig,asis,ecb,0,eecdcr,default,0,elmo
