Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,0_R,PRK,0,Kim Jong Un,maxku,19-Apr-18 17:15:58,,,11,0.30,1,1
●,0_R,USA,0,CIA director,maxku,19-Apr-18 17:18:30,,,12,0.32,2,2
●,0_R,PRK\Jong Un,0,North Korean leader,maxku,19-Apr-18 17:18:38,,,19,0.51,2,2
●,0_R,USA,0,chief White House correspondent,maxku,19-Apr-18 17:18:48,,,31,0.83,2,2
●,0_R,PRK\Jong Un,0,North Korean dictator,maxku,19-Apr-18 17:19:18,,,21,0.56,3,3
●,0_R,USA\Mike Pompeo,0,Mike Pompeo,maxku,19-Apr-18 17:20:23,,,11,0.30,1,1
●,0_R,USA\Mike Pompeo,0,Mike Pompeo,maxku,19-Apr-18 17:20:29,,,11,0.30,3,3
●,0_R,PRK\Jong Un,0,Kim Jong Un,maxku,19-Apr-18 17:20:37,,,11,0.30,3,3
●,0_R,PRK\Jong Un,0,Kim,maxku,19-Apr-18 17:20:51,,,3,0.08,3,3
●,0_R,USA\Trump,0,President Trump,maxku,19-Apr-18 17:20:57,,,15,0.40,3,3
●,0_R,USA\Mike Pompeo,0,Pompeo,maxku,19-Apr-18 17:21:03,,,6,0.16,4,4
●,0_R,USA\Trump,0,Trump,maxku,19-Apr-18 17:21:11,,,5,0.13,4,4
●,0_R,USA,0,U.S.,maxku,19-Apr-18 17:21:17,,,4,0.11,4,4
●,0_R,PRK,0,North Korea,maxku,19-Apr-18 17:21:24,,,11,0.30,4,4
●,0_R,PRK,0,Pyongyang,maxku,19-Apr-18 17:21:45,,,9,0.24,4,4
●,0_R,USA,0,White House,maxku,19-Apr-18 17:22:05,,,11,0.30,5,5
●,0_R,USA\Trump,0,Trump,maxku,19-Apr-18 17:22:14,,,5,0.13,5,5
●,0_R,USA\Mike Pompeo,0,Mike Pompeo,maxku,19-Apr-18 17:22:24,,,11,0.30,6,6
●,0_R,PRK\Jong Un,0,Kim Jong Un,maxku,19-Apr-18 17:22:30,,,11,0.30,6,6
●,0_R,PRK,0,North Korea,maxku,19-Apr-18 17:22:35,,,11,0.30,6,6
●,0_R,PRK,0,North Korea,maxku,19-Apr-18 17:23:00,,,11,0.30,6,6
●,0_R,USA\Mike Pompeo,0,Mike Pompeo,maxku,19-Apr-18 17:24:35,,,11,0.30,7,7
