Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,1_RR,Comey Memos,0,Comey memos,maxku,07-May-18 08:46:57,,,11,0.56,1,1
●,1_RR,USA\Trump,0,President Donald Trump,maxku,07-May-18 08:47:16,,,22,1.12,2,2
●,1_RR,Comey Memos,0,James Comey Memos,maxku,07-May-18 08:49:10,,,17,0.87,3,3
●,1_RR,USA\Trump,0,Trump,maxku,07-May-18 08:49:17,,,5,0.25,3,3
●,1_RR,USA\USA-I,0,House Judiciary Chairman Bob Goodlatte,maxku,07-May-18 08:50:00,,,38,1.94,5,5
●,1_RR,USA\USA-I,0,House Oversight Chairman Trey Gowdy,maxku,07-May-18 08:50:09,,,35,1.78,5,5
●,1_RR,USA\USA-I,0,House Intelligence Chairman Devin Nunes,maxku,07-May-18 08:50:14,,,39,1.99,5,5
●,1_RR,Comey Memos,0,the memos,maxku,07-May-18 08:50:24,,,9,0.46,5,5
●,1_RR,Comey Memos,0,Comey's memos,maxku,07-May-18 08:50:34,,,13,0.66,4,4
●,1_RR,USA,0,Republican Congressional intelligence officials,maxku,07-May-18 08:51:11,,,47,2.40,4,4
●,1_RR,USA\Trump,0,Donald Trump,maxku,07-May-18 08:51:23,,,12,0.61,1,1
●,1_RR,Comey Memos,0,the memos,maxku,07-May-18 08:52:18,,,9,0.46,6,6
●,1_RR,USA,0,Republican officials,maxku,07-May-18 08:52:38,,,20,1.02,7,7
●,1_RR,USA\Trump,0,Trump,maxku,07-May-18 08:52:49,,,5,0.25,7,7
●,1_RR,USA\USA-Misc,0,Democrats,maxku,07-May-18 08:53:15,,,9,0.46,7,7
●,1_RR,USA,0,Department of Justice,maxku,07-May-18 08:53:45,,,21,1.07,8,8
●,1_RR,USA\USA-I,0,Attorney General Loretta Lynch,maxku,07-May-18 08:53:59,,,30,1.53,8,8
●,1_RR,Comey Memos,0,these memos,maxku,07-May-18 08:54:10,,,11,0.56,8,8
●,1_RR,Comey Memos,0,detailed memos,maxku,07-May-18 08:54:29,,,14,0.71,7,7
●,1_R,USA\Trump,0,Trump,maxku,07-May-18 08:54:41,,,5,0.09,1,1
●,1_R,Comey Memos,0,Comey memos,maxku,07-May-18 08:54:53,,,11,0.19,1,1
●,1_R,USA,0,FBI,maxku,07-May-18 08:55:03,,,3,0.05,2,2
●,1_R,USA\Trump,0,President Trump,maxku,07-May-18 08:55:08,,,15,0.26,3,3
●,1_R,RUS,0,Russia,maxku,07-May-18 08:55:41,,,6,0.11,3,3
●,1_R,Comey Memos,0,The memos,maxku,07-May-18 08:56:34,,,9,0.16,4,4
●,1_R,USA\Trump,0,Trump,maxku,07-May-18 08:56:50,,,5,0.09,4,4
●,1_R,USA,0,GOP lawmakers,maxku,07-May-18 08:58:56,,,13,0.23,4,4
●,1_R,USA\USA-Misc,0,Democrats,maxku,07-May-18 08:59:06,,,9,0.16,4,4
●,1_R,USA\Trump,0,Trump,maxku,07-May-18 08:59:11,,,5,0.09,4,4
●,1_R,USA,0,FBI,maxku,07-May-18 08:59:19,,,3,0.05,4,4
●,1_R,Comey Memos,0,James Comey Memos,maxku,07-May-18 08:59:34,,,17,0.30,5,5
●,1_R,RUS,0,Russian officials,maxku,07-May-18 08:59:53,,,17,0.30,10,10
●,1_M,Comey Memos,0,Comey memos,maxku,07-May-18 09:03:50,,,11,0.17,1,1
●,1_M,USA,0,Congress,maxku,07-May-18 09:04:03,,,8,0.12,1,1
●,1_M,Comey Memos,0,explosive memos,maxku,07-May-18 09:04:19,,,15,0.23,2,2
●,1_M,USA\Comey,0,Comey,maxku,07-May-18 09:06:18,,,5,0.08,1,1
●,1_M,USA\Comey,0,former FBI director James Comey,maxku,07-May-18 09:06:25,,,31,0.47,2,2
●,1_R,USA\Comey,0,Comey,maxku,07-May-18 09:06:34,,,5,0.09,1,1
●,1_R,USA\Comey,0,Comey,maxku,07-May-18 09:06:40,,,5,0.09,2,2
●,1_R,USA\Comey,0,former FBI Director James Comey,maxku,07-May-18 09:06:49,,,31,0.54,3,3
●,1_R,USA\Comey,0,the fired FBI director,maxku,07-May-18 09:07:17,,,22,0.39,4,4
●,1_R,USA\Comey,0,James Comey,maxku,07-May-18 09:07:26,,,11,0.19,5,5
●,1_RR,USA\Comey,0,Comey,maxku,07-May-18 09:07:37,,,5,0.25,1,1
●,1_RR,USA\Comey,0,James Comey,maxku,07-May-18 09:07:53,,,11,0.56,3,3
●,1_RR,USA\Comey,0,Comey,maxku,07-May-18 09:08:09,,,5,0.25,4,4
●,1_RR,USA\Comey,0,former Director Comey,maxku,07-May-18 09:08:30,,,21,1.07,5,5
●,1_RR,USA\Comey,0,Comey,maxku,07-May-18 09:08:37,,,5,0.25,6,6
●,1_RR,USA\Comey,0,Comey,maxku,07-May-18 09:09:07,,,5,0.25,7,7
●,1_M,USA\Trump,0,President Trump,maxku,07-May-18 09:09:26,,,15,0.23,2,2
●,1_M,USA\Comey,0,Comey,maxku,07-May-18 09:09:32,,,5,0.08,2,2
●,1_M,USA\Comey,0,Comey,maxku,07-May-18 09:09:38,,,5,0.08,2,2
●,1_M,Comey Memos,0,The memos,maxku,07-May-18 09:10:44,,,9,0.14,3,3
●,1_M,USA,0,Congress,maxku,07-May-18 09:10:49,,,8,0.12,3,3
●,1_M,USA\USA-I,0,Justice special counsel Robert Mueller,maxku,07-May-18 09:10:57,,,38,0.57,3,3
●,1_M,USA\Trump,0,Trump,maxku,07-May-18 09:11:07,,,5,0.08,3,3
●,1_RR,USA\USA-I,0,a private citizen,maxku,07-May-18 09:12:19,,,17,0.87,6,6
●,1_RR,RUS,0,special prosecutor of the Russian investigation,maxku,07-May-18 09:12:41,,,47,2.40,6,6
●,1_R,RUS,0,Russia,maxku,07-May-18 09:13:18,,,6,0.11,12,12
●,1_R,RUS,0,Russian envoy to the U.S.,maxku,07-May-18 09:13:49,,,25,0.44,16,16
●,1_M,RUS interference,0,Russia's interference in the 2016 elections,maxku,07-May-18 09:14:04,,,43,0.65,3,3
●,1_M,USA\Comey,0,former director,maxku,07-May-18 09:14:17,,,15,0.23,3,3
●,1_M,USA\Comey,0,Comey,maxku,07-May-18 09:14:21,,,5,0.08,3,3
●,1_M,USA\Trump,0,the president,maxku,07-May-18 09:14:48,,,13,0.20,3,3
●,1_M,USA,0,the FBI,maxku,07-May-18 09:15:24,,,7,0.11,4,4
●,1_M,RUS,0,Russia ambassador Sergey Kislyak,maxku,07-May-18 09:15:39,,,32,0.48,4,4
●,1_M,USA\USA-I,0,Mueller,maxku,07-May-18 09:16:27,,,7,0.11,4,4
●,1_M,Comey Memos,0,the memos,maxku,07-May-18 09:16:34,,,9,0.14,5,5
●,1_M,USA\Trump,0,Trump,maxku,07-May-18 09:16:41,,,5,0.08,5,5
●,1_M,USA\Comey,0,Comey,maxku,07-May-18 09:16:44,,,5,0.08,5,5
●,1_M,USA\Trump,0,Trump,maxku,07-May-18 09:17:12,,,5,0.08,5,5
●,1_M,RUS\Putin,0,Putin,maxku,07-May-18 09:17:44,,,5,0.08,7,7
●,1_M,USA\Trump,0,Trump,maxku,07-May-18 09:17:55,,,5,0.08,7,7
●,1_M,USA\Comey,0,Comey,maxku,07-May-18 09:18:00,,,5,0.08,8,8
●,1_M,RUS,0,Russia,maxku,07-May-18 09:18:11,,,6,0.09,8,8
●,1_M,USA,0,America,maxku,07-May-18 09:18:17,,,7,0.11,8,8
●,1_M,USA\Trump,0,Trump,maxku,07-May-18 09:18:24,,,5,0.08,9,9
●,1_M,USA\Comey,0,Comey,maxku,07-May-18 09:18:29,,,5,0.08,9,9
●,1_M,USA\USA-I,0,Assistant Attorney General Stephen Boyd,maxku,07-May-18 09:19:01,,,39,0.59,12,12
●,1_M,USA\USA-I,0,Boyd,maxku,07-May-18 09:19:05,,,4,0.06,13,13
●,1_M,Comey Memos,0,the memos,maxku,07-May-18 09:19:24,,,9,0.14,16,16
●,1_M,USA\USA-I,0,Justice Department official Dana Boente,maxku,07-May-18 09:20:46,,,39,0.59,22,22
●,1_M,Comey Memos,0,Former Director Comey's memos,maxku,07-May-18 09:21:31,,,29,0.44,29,29
●,1_M,USA\Comey,0,Former Director Comey,maxku,07-May-18 09:21:38,,,21,0.32,29,29
●,1_M,USA\USA-Misc,0,Democratic political committees,maxku,07-May-18 09:22:21,,,31,0.47,30,30
●,1_M,USA\Trump,0,Trump,maxku,07-May-18 09:22:30,,,5,0.08,30,30
●,1_L,USA\Trump,0,President Trump,maxku,07-May-18 09:22:49,,,15,0.17,1,1
●,1_L,USA\Comey,0,former F.B.I. director James Comey,maxku,07-May-18 09:22:55,,,34,0.38,1,1
●,1_L,RUS,0,Russia,maxku,07-May-18 09:23:16,,,6,0.07,1,1
●,1_L,USA\Trump,0,the president,maxku,07-May-18 09:27:25,,,13,0.15,1,1
