Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,2_M,PRK,0,North Korea,maxku,07-May-18 10:52:27,,,11,0.33,1,1
●,2_M,PRK,0,North Korea,maxku,07-May-18 10:55:57,,,11,0.33,2,2
●,2_M,PRK\Kim,0,North Korea's Kim,maxku,07-May-18 10:56:06,,,17,0.52,2,2
●,2_M,PRK\Kim,0,North Korean leader Kim Jong Un,maxku,07-May-18 10:56:25,,,31,0.94,3,3
●,2_M,PRK,0,The Korean Central News Agency,maxku,07-May-18 10:56:46,,,30,0.91,4,4
●,2_M,PRK,0,North Korea's state media agency,maxku,07-May-18 10:56:52,,,32,0.97,4,4
●,2_M,PRK\Kim,0,the nation's reclusive leader,maxku,07-May-18 10:57:03,,,29,0.88,4,4
●,2_M,KOR\Moon,0,South Korean President Moon Jae-in,maxku,07-May-18 11:02:22,,,34,1.03,4,4
●,2_M,PRK\Kim,0,Kim,maxku,07-May-18 11:02:27,,,3,0.09,4,4
●,2_M,USA\Trump,0,President Trump,maxku,07-May-18 11:02:33,,,15,0.46,4,4
●,2_M,PRK\Kim,0,Kim,maxku,07-May-18 11:02:58,,,3,0.09,5,5
●,2_M,PRK,0,Worker's Party of Korea,maxku,07-May-18 11:04:04,,,23,0.70,5,5
●,2_M,KOR,0,South and North Korea,maxku,07-May-18 11:04:21,,,21,0.64,6,6
●,2_M,PRK,0,South and North Korea,maxku,07-May-18 11:04:30,,,21,0.64,6,6
●,2_M,PRK KOR end of military conflict,0,official end to the military conflict,maxku,07-May-18 11:05:15,,,37,1.12,6,6
●,2_M,KOR,0,the two countries,maxku,07-May-18 11:05:30,,,17,0.52,6,6
●,2_M,PRK,0,the two countries,maxku,07-May-18 11:05:38,,,17,0.52,6,6
●,2_M,KOR\KOR-I,0,unidentified South Korean official,maxku,07-May-18 11:05:58,,,34,1.03,6,6
●,2_M,KOR\KOR-Misc,0,the Munhwa Ilbo newspaper,maxku,07-May-18 11:06:19,,,25,0.76,6,6
●,2_M,PRK,0,The Korean Central News Agency,maxku,07-May-18 11:06:29,,,30,0.91,7,7
●,2_M,PRK nuclear missile test suspension,0,freeze its nuclear tests and long-range missiles,maxku,07-May-18 11:06:36,,,48,1.46,7,7
●,2_M,PRK,0,the North,maxku,07-May-18 11:06:45,,,9,0.27,8,8
●,2_M,PRK nuclear missile test suspension,0,prove the vow to suspend nuclear test,maxku,07-May-18 11:07:07,,,37,1.12,8,8
●,2_M,USA\Trump,0,President Trump,maxku,07-May-18 11:07:16,,,15,0.46,9,9
●,2_M,PRK,0,North Korea,maxku,07-May-18 11:07:31,,,11,0.33,10,10
●,2_M,PRK,0,North Korea,maxku,07-May-18 11:08:42,,,11,0.33,10,10
●,2_M,USA\Trump,0,President Trump,maxku,07-May-18 11:08:57,,,15,0.46,11,11
●,2_M,PRK\Kim,0,Kim,maxku,07-May-18 11:09:06,,,3,0.09,11,11
●,2_M,PRK,0,North Korea,maxku,07-May-18 11:09:14,,,11,0.33,12,12
●,2_M,USA\USA-I,0,Tom Karako,maxku,07-May-18 11:09:53,,,10,0.30,18,18
●,2_M,USA\USA-I,0,director of the Missile Defense Project at the Center for Strategic and International Studies,maxku,07-May-18 11:09:57,,,93,2.82,18,18
●,2_LL,PRK,0,North Korea,maxku,07-May-18 11:10:28,,,11,0.26,1,1
