Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,3_RR,USA\Democrats,0,DNC,maxku,08-05-18 11:41,,,3,0.1,1,1
●,3_RR,Lawsuit,0,multi-million dollar lawsuit,maxku,08-05-18 11:41,,,28,0.91,1,1
●,3_RR,RUS,0,Russia,maxku,08-05-18 11:41,,,6,0.2,1,1
●,3_RR,Trump campaign,0,Trump campaign,maxku,08-05-18 11:41,,,14,0.46,1,1
●,3_RR,RUS interference into USA election,0,collusion,maxku,08-05-18 11:41,,,9,0.29,1,1
●,3_RR,USA\Democrats,0,The Democratic National Committee,maxku,08-05-18 11:41,,,33,1.08,2,2
●,3_RR,Lawsuit,0,is suing,maxku,08-05-18 11:41,,,8,0.26,2,2
●,3_RR,RUS,0,Russian government,maxku,08-05-18 11:42,,,18,0.59,2,2
●,3_RR,Trump campaign,0,the Trump campaign,maxku,08-05-18 11:42,,,18,0.59,2,2
●,3_RR,Wikileaks,0,WikiLeaks,maxku,08-05-18 11:42,,,9,0.29,2,2
●,3_RR,USA election 2016,0,the 2016 campaign,maxku,08-05-18 11:42,,,17,0.56,2,2
●,3_RR,Lawsuit,0,The multi-million dollar lawsuit,maxku,08-05-18 11:43,,,32,1.05,3,3
●,3_RR,USA\Republicans\Trump,0,President Trump,maxku,08-05-18 11:43,,,15,0.49,3,3
●,3_RR,RUS interference into USA election,0,Russian meddling and collusion,maxku,08-05-18 11:44,,,30,0.98,3,3
●,3_RR,USA\Democrats,0,DNC,maxku,08-05-18 11:45,,,3,0.1,4,4
●,3_RR,USA\Republicans\Trump,0,Trump,maxku,08-05-18 11:45,,,5,0.16,4,4
●,3_RR,RUS,0,various Russian contacts,maxku,08-05-18 11:45,,,24,0.78,4,4
●,3_RR,Trump campaign,0,the campaign,maxku,08-05-18 11:45,,,12,0.39,4,4
●,3_RR,RUS interference into USA election,0,collusion,maxku,08-05-18 11:45,,,9,0.29,4,4
●,3_RR,USA\Democrats,0,Rep. Adam Schiff,maxku,08-05-18 11:45,,,16,0.52,4,4
●,3_RR,RUS interference into USA election,0,obstruction of justice,maxku,08-05-18 11:46,,,22,0.72,5,5
●,3_RR,USA\Republicans\Trump,0,Trump,maxku,08-05-18 11:46,,,5,0.16,5,5
●,3_RR,Lawsuit,0,the lawsuit,maxku,08-05-18 11:47,,,11,0.36,7,7
●,3_RR,RUS interference into USA election,0,the Russian collusion theory,maxku,08-05-18 11:47,,,28,0.91,7,7
●,3_RR,USA\Democrats,0,Democrats,maxku,08-05-18 11:47,,,9,0.29,7,7
●,3_RR,USA\Democrats,0,The DNC,maxku,08-05-18 11:47,,,7,0.23,8,8
●,3_RR,USA\Republicans,0,top Trump campaign officials,maxku,08-05-18 11:49,,,28,0.91,8,8
●,3_RR,RUS,0,the Russian government,maxku,08-05-18 11:49,,,22,0.72,8,8
●,3_RR,RUS,0,military spy agency,maxku,08-05-18 11:49,,,19,0.62,8,8
●,3_RR,USA\Democrats\Clinton,0,Hillary Clinton,maxku,08-05-18 11:49,,,15,0.49,8,8
●,3_RR,USA\Republicans\Trump,0,Trump,maxku,08-05-18 11:49,,,5,0.16,8,8
●,3_RR,USA\Democrats,0,the Democratic National Committee,maxku,08-05-18 11:49,,,33,1.08,8,8
●,3_RR,Lawsuit,0,the DNC’s lawsuit,maxku,18-05-18 07:14,,,17,0.56,4,4
●,3_RR,RUS interference into USA election,0,an act of unprecedented treachery,maxku,18-05-18 07:33,,,33,1.08,10,10
●,3_RR,RUS interference into USA election,0,the cyberattack,maxku,18-05-18 07:33,,,15,0.49,11,11
●,3_RR,RUS interference into USA election,0,“conspired” with the Russian government and its military spy agency to hurt Hillary Clinton and help Trump,maxku,18-05-18 07:33,,,106,3.46,8,8
●,3_RR,RUS interference into USA election,0,"conspired to infiltrate Democrats’ computers, steal information, and disseminate it to influence the 2016 election",maxku,18-05-18 07:34,,,114,3.72,12,12
●,3_RR,USA,0,Deputy Attorney General Rod Rosenstein,maxku,18-05-18 10:52,,,38,1.24,3,3
●,3_RR,USA\Republicans,0,personal attorney Michael D. Cohen,maxku,18-05-18 10:52,,,34,1.11,3,3
●,3_RR,Properties\Power & Strength\Weak & Following,0,DESPERATION,maxku,18-05-18 13:15,Democrats,,11,0.36,1,1
●,3_RR,Properties\Power & Strength\Powerful & Leading,0,files,maxku,18-05-18 13:15,Democrats,,5,0.16,1,1
●,3_RR,Properties\Importance\Important & Intense,0,multi-million dollar,maxku,18-05-18 13:15,Lawsuit,,20,0.65,1,1
●,3_RR,Properties\Importance\Important & Intense,0,is suing,maxku,18-05-18 13:16,Democrats,,8,0.26,2,2
●,3_RR,Properties\Other\Other,0,allegedly,maxku,18-05-18 13:16,Lawsuit,,9,0.29,2,2
●,3_RR,Properties\Power & Strength\Weak & Following,0,desperate,maxku,18-05-18 13:16,Democrats,,9,0.29,2,2
●,3_RR,Properties\Importance\Important & Intense,0,multi-million dollar,maxku,18-05-18 13:17,Lawsuit,,20,0.65,3,3
●,3_RR,Properties\Other\Positive,0,not the target,maxku,18-05-18 13:17,Trump,,14,0.46,3,3
●,3_RR,USA,0,the special counsel,maxku,18-05-18 13:18,,,19,0.62,3,3
●,3_RR,Properties\Other\Positive,0,does not name Trump as a defendant,maxku,18-05-18 13:18,Trump,,34,1.11,4,4
●,3_RR,USA\Republicans,0,a defendant,maxku,18-05-18 13:18,,,11,0.36,4,4
●,3_RR,Properties\Other\Other,0,alleges,maxku,18-05-18 13:18,Lawsuit,,7,0.23,4,4
●,3_RR,Properties\Other\Other,0,a theory,maxku,18-05-18 13:19,RUS interference into USA election,,8,0.26,4,4
●,3_RR,USA\Republicans,0,Rep. Adam Schiff,maxku,18-05-18 13:19,,,16,0.52,4,4
●,3_RR,Properties\Importance\Important & Intense,0,highly anticipated,maxku,18-05-18 13:20,USA,,18,0.59,5,5
●,3_RR,Properties\Importance\Unimportant,0,not yielded the smoking gun,maxku,18-05-18 13:21,USA,,27,0.88,5,5
●,3_RR,USA\USA-Misc,0,Trump critics,maxku,18-05-18 13:21,,,13,0.42,5,5
●,3_RR,Properties\Power & Strength\Weak & Following,0,had hoped for,maxku,18-05-18 13:21,USA-Misc,,13,0.42,5,5
●,3_RR,USA,0,Comey,maxku,18-05-18 13:22,,,5,0.16,6,6
●,3_RR,Properties\Law\Unlawful,0,fall short of being illegal,maxku,18-05-18 13:22,Trump,,27,0.88,6,6
●,3_RR,Properties\Behaviour & character\SHOWN as Not reasonable/Stupid,0,disturbing,maxku,18-05-18 13:22,Trump,,10,0.33,6,6
●,3_RR,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,violating basic norms of ethical leadership,maxku,18-05-18 13:22,Trump,,43,1.4,6,6
●,3_RR,USA\Democrats,0,the DNC,maxku,18-05-18 13:23,,,7,0.23,7,7
●,3_RR,Properties\Power & Strength\Weak & Following,0,hoping that,maxku,18-05-18 13:23,Democrats,,11,0.36,7,7
●,3_RR,Properties\Power & Strength\Powerful & Leading,0,invigorate the Russian collusion theory,maxku,18-05-18 13:23,Lawsuit,,39,1.27,7,7
●,3_RR,Properties\Economy\Positive - economy,0,helping to raise funds,maxku,18-05-18 13:24,Lawsuit,,22,0.72,7,7
●,3_RR,Properties\Power & Strength\Weak & Following,0,have been soliciting donations,maxku,18-05-18 13:24,Democrats,,30,0.98,7,7
●,3_RR,Properties\Other\Other,0,is alleging,maxku,18-05-18 13:25,Democrats,,11,0.36,8,8
