Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,4_RR,IRN,0,Iran,maxku,08-May-18 13:27:58,,,4,0.21,1,1
●,4_RR,IRN\Rouhani,0,Iranian President Hassan Rouhani,maxku,08-May-18 13:32:01,,,32,1.69,2,2
●,4_RR,SAU,0,Saudi Arabia,maxku,08-May-18 13:32:17,,,12,0.63,2,2
●,4_RR,IRN,0,Iran,maxku,08-May-18 13:35:33,,,4,0.21,2,2
●,4_RR,SAU,0,the regional heavyweights,maxku,08-May-18 13:36:00,,,25,1.32,2,2
●,4_RR,IRN,0,the regional heavyweights,maxku,08-May-18 13:36:13,,,25,1.32,2,2
●,4_RR,USA\Trump,0,President Donald Trump,maxku,08-May-18 13:36:24,,,22,1.16,3,3
●,4_RR,FRA,0,French President Emmanuel Macron,maxku,08-May-18 13:37:11,,,32,1.69,3,3
●,4_RR,IRN,0,Iran,maxku,08-May-18 13:37:53,,,4,0.21,3,3
●,4_RR,FRA\Macron,0,Macron,maxku,08-May-18 13:38:24,,,6,0.32,4,4
●,4_RR,IRN restart nuclear,0,Restarting Nuclear Program,maxku,08-May-18 13:39:31,,,26,1.37,1,1
●,4_RR,IRN restart nuclear,0,They Restart it,maxku,08-May-18 13:39:37,,,15,0.79,1,1
●,4_RR,IRN restart nuclear,0,restart,maxku,08-May-18 13:39:51,,,7,0.37,4,4
●,4_RR,IRN restart nuclear,0,restarting,maxku,08-May-18 13:40:04,,,10,0.53,4,4
●,4_RR,IRN restart nuclear,0,They restart it,maxku,08-May-18 13:40:14,,,15,0.79,4,4
●,4_RR,USA\Trump,0,Trump,maxku,08-May-18 13:40:27,,,5,0.26,4,4
●,4_RR,IRN,0,The Iranians,maxku,08-May-18 13:40:38,,,12,0.63,5,5
●,4_RR,USA,0,the United States,maxku,08-May-18 13:40:42,,,17,0.90,5,5
●,4_RR,IRN nuclear deal,0,the deal,maxku,08-May-18 13:40:49,,,8,0.42,5,5
●,4_RR,IRN restart nuclear,0,restart their efforts to develop nuclear weapons,maxku,08-May-18 13:40:56,,,48,2.54,5,5
●,4_RR,USA\Trump,0,Trump,maxku,08-May-18 13:41:05,,,5,0.26,6,6
●,4_RR,IRN nuclear deal,0,the deal,maxku,08-May-18 13:41:12,,,8,0.42,6,6
●,4_RR,IRN nuclear deal,0,terrible deal,maxku,08-May-18 13:41:21,,,13,0.69,6,6
●,4_RR,USA\Trump,0,Trump,maxku,08-May-18 13:41:29,,,5,0.26,7,7
●,4_RR,FRA\Macron,0,Macron,maxku,08-May-18 13:41:39,,,6,0.32,8,8
●,4_RR,IRN nuclear deal,0,Iran deal,maxku,08-May-18 13:41:45,,,9,0.48,8,8
●,4_RR,USA\Trump,0,Trump,maxku,08-May-18 13:41:51,,,5,0.26,9,9
●,4_RR,IRN,0,Iran,maxku,08-May-18 13:41:56,,,4,0.21,9,9
●,4_RR,IRN,0,Iran,maxku,08-May-18 13:42:02,,,4,0.21,10,10
●,4_RR,IRN,0,Iran,maxku,08-May-18 13:42:10,,,4,0.21,10,10
●,4_RR,USA\Trump,0,Trump,maxku,08-May-18 13:42:23,,,5,0.26,12,12
●,4_RR,IRN nuclear deal,0,the Iran deal,maxku,08-May-18 13:42:41,,,13,0.69,12,12
●,4_RR,IRN nuclear deal,0,The Iran deal,maxku,08-May-18 13:42:48,,,13,0.69,13,13
●,4_RR,IRN,0,Iran,maxku,08-May-18 13:42:53,,,4,0.21,13,13
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:43:16,,,5,0.09,1,1
●,4_R,IRN,0,Iran,maxku,08-May-18 13:43:21,,,4,0.08,1,1
●,4_R,FRA\Macron,0,Macron,maxku,08-May-18 13:43:28,,,6,0.11,1,1
●,4_R,USA\Trump,0,President Trump,maxku,08-May-18 13:43:34,,,15,0.28,2,2
●,4_R,IRN,0,Iran’s leaders,maxku,08-May-18 13:43:43,,,14,0.26,2,2
●,4_R,IRN,0,Iran,maxku,08-May-18 13:43:47,,,4,0.08,2,2
●,4_R,USA,0,U.S.,maxku,08-May-18 13:43:51,,,4,0.08,2,2
●,4_R,FRA\Macron,0,French President Emmanuel Macron,maxku,08-May-18 13:44:02,,,32,0.60,3,3
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:44:07,,,5,0.09,4,4
●,4_R,IRN,0,Iran,maxku,08-May-18 13:44:15,,,4,0.08,4,4
●,4_R,IRN,0,Iran,maxku,08-May-18 13:44:19,,,4,0.08,5,5
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:44:25,,,5,0.09,5,5
●,4_R,IRN nuclear deal,0,Iran deal,maxku,08-May-18 13:44:32,,,9,0.17,5,5
●,4_R,IRN,0,Iran,maxku,08-May-18 13:44:43,,,4,0.08,5,5
●,4_R,FRA\Macron,0,Macron,maxku,08-May-18 13:44:47,,,6,0.11,6,6
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:44:52,,,5,0.09,6,6
●,4_R,IRN nuclear deal,0,the deal,maxku,08-May-18 13:45:28,,,8,0.15,6,6
●,4_R,FRA\Macron,0,Macron,maxku,08-May-18 13:45:44,,,6,0.11,7,7
●,4_R,IRN nuclear deal,0,the agreement,maxku,08-May-18 13:45:51,,,13,0.24,7,7
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:46:01,,,5,0.09,8,8
●,4_R,FRA\Macron,0,Macron,maxku,08-May-18 13:46:06,,,6,0.11,8,8
●,4_R,IRN nuclear deal,0,the Iran Nuclear deal,maxku,08-May-18 13:46:15,,,21,0.39,8,8
●,4_R,IRN nuclear deal,0,a terrible deal,maxku,08-May-18 13:46:24,,,15,0.28,9,9
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:46:33,,,5,0.09,9,9
●,4_R,IRN,0,Iran,maxku,08-May-18 13:46:37,,,4,0.08,9,9
●,4_R,IRN,0,Iran,maxku,08-May-18 13:46:45,,,4,0.08,9,9
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:46:50,,,5,0.09,10,10
●,4_R,IRN nuclear deal,0,the 2015 Iran nuclear agreement,maxku,08-May-18 13:46:58,,,31,0.58,10,10
●,4_R,IRN,0,Iran,maxku,08-May-18 13:47:03,,,4,0.08,10,10
●,4_R,USA\Trump,0,president,maxku,08-May-18 13:47:15,,,9,0.17,10,10
●,4_R,IRN\Rouhani,0,Iranian President Hassan Rouhani,maxku,08-May-18 13:47:21,,,32,0.60,11,11
●,4_R,USA,0,U.S.,maxku,08-May-18 13:47:25,,,4,0.08,11,11
●,4_R,USA,0,U.S.,maxku,08-May-18 13:47:30,,,4,0.08,11,11
●,4_R,IRN nuclear deal,0,the nuclear agreement,maxku,08-May-18 13:47:37,,,21,0.39,11,11
●,4_R,IRN,0,Tehran,maxku,08-May-18 13:48:01,,,6,0.11,11,11
●,4_R,IRN,0,Iran,maxku,08-May-18 13:48:06,,,4,0.08,11,11
●,4_R,USA,0,U.S.,maxku,08-May-18 13:48:14,,,4,0.08,11,11
●,4_R,USA,0,U.S.,maxku,08-May-18 13:48:20,,,4,0.08,12,12
●,4_R,IRN,0,Iran,maxku,08-May-18 13:48:29,,,4,0.08,12,12
●,4_R,IRN restart nuclear,0,restart their nuclear program,maxku,08-May-18 13:48:33,,,29,0.54,12,12
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:48:39,,,5,0.09,12,12
●,4_R,IRN restart nuclear,0,restart their nuclear program,maxku,08-May-18 13:48:45,,,29,0.54,13,13
●,4_R,USA\Trump,0,Trump,maxku,08-May-18 13:48:51,,,5,0.09,13,13
●,4_M,USA\Trump,0,Trump,maxku,08-May-18 13:50:22,,,5,0.09,1,1
●,4_M,FRA\Macron,0,Emmanuel Macron,maxku,08-May-18 13:50:27,,,15,0.28,1,1
●,4_M,IRN nuclear deal,0,Iran deal,maxku,08-May-18 13:50:33,,,9,0.17,1,1
●,4_M,USA\Trump,0,Trump,maxku,08-May-18 13:50:38,,,5,0.09,1,1
