Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,5_L,USA\Trump,0,President Trump,maxku,21-May-18 09:44:55,,,15,0.23,1,1
●,5_L,Visit Trump UK,0,Is Coming to Britain,maxku,21-May-18 09:45:00,,,20,0.31,1,1
●,5_L,GBR,0,Britain,maxku,21-May-18 09:45:05,,,7,0.11,1,1
●,5_L,GBR\GBR-I,0,Queen Elizabeth II,maxku,09-May-18 14:31:52,,,18,0.28,2,2
●,5_L,GBR\GBR-I,0,Prince Philip,maxku,09-May-18 14:31:56,,,13,0.20,2,2
●,5_L,GBR\London,0,London,maxku,09-May-18 14:32:00,,,6,0.09,2,2
●,5_L,State Visit,0,a state visit,maxku,21-May-18 09:51:56,,,13,0.20,2,2
●,5_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 14:32:30,,,9,0.14,3,3
●,5_L,Visit Trump UK,0,will not get the honors of a traditional state visit,maxku,21-May-18 08:49:05,,,52,0.80,3,3
●,5_L,Properties\Power & Strength\Weak & Following,0,will not get the honors,maxku,21-May-18 09:45:38,Trump,,23,0.36,3,3
●,5_L,State Visit,0,a traditional state visit,maxku,21-May-18 09:52:03,,,25,0.39,3,3
●,5_L,Properties\Importance\Important & Intense,0,highly ceremonial,maxku,21-May-18 09:52:08,State Visit,,17,0.26,3,3
●,5_L,Properties\Other\Other,0,very British affair,maxku,21-May-18 09:52:18,State Visit,,19,0.29,3,3
●,5_L,GBR\GBR-I,0,Queen Elizabeth II,maxku,09-May-18 14:33:10,,,18,0.28,6,6
●,5_L,GBR,0,the government,maxku,09-May-18 14:33:16,,,14,0.22,6,6
●,5_L,GBR,0,Britain,maxku,09-May-18 14:33:21,,,7,0.11,6,6
●,5_L,State Visit,0,Invitations for state visits,maxku,21-May-18 09:52:36,,,28,0.43,6,6
●,5_L,Properties\Importance\Important & Intense,0,rare,maxku,21-May-18 09:52:43,State Visit,,4,0.06,6,6
●,5_L,Properties\Honor & patriotic values\Honor,0,honorific,maxku,21-May-18 09:52:51,State Visit,,9,0.14,6,6
●,5_L,Properties\Importance\Important & Intense,0,convey a strong relationship,maxku,21-May-18 09:53:03,State Visit,,28,0.43,6,6
●,5_L,State Visit,0,such visits,maxku,21-May-18 09:53:25,,,11,0.17,7,7
●,5_L,GBR\London,0,London,maxku,09-May-18 14:33:42,,,6,0.09,8,8
●,5_L,State Visit,0,A state visit,maxku,21-May-18 09:53:31,,,13,0.20,8,8
●,5_L,Properties\Importance\Important & Intense,0,firmly structured,maxku,21-May-18 09:53:43,State Visit,,17,0.26,8,8
●,5_L,Properties\Importance\Important & Intense,0,the pomp,maxku,21-May-18 09:54:00,State Visit,,8,0.12,8,8
●,5_L,State Visit,0,a state visit,maxku,21-May-18 09:54:16,,,13,0.20,8,8
●,5_L,Properties\Difficulty\Difficult,0,difficult,maxku,21-May-18 09:54:44,State Visit,,9,0.14,8,8
●,5_L,State Visit,0,a firmly structured event over four days,AnZhu,15-Jan-19 21:19:33,,,40,0.62,8,8
●,5_L,State Visit,0,the pomp,AnZhu,16-Jan-19 11:02:50,,,8,0.12,8,8
●,5_L,State Visit,0,"including talks, pageants, a banquet and a visit outside London",AnZhu,16-Jan-19 11:04:04,,,63,0.97,8,8
●,5_L,GBR,0,Peter Westmacott,maxku,09-May-18 14:34:09,,,16,0.25,9,9
●,5_L,GBR,0,former British ambassador to the United States,maxku,09-May-18 14:34:12,,,46,0.71,9,9
●,5_L,State Visit,0,a state visit,maxku,21-May-18 09:54:57,,,13,0.20,9,9
●,5_L,Properties\Other\Other,0,ceremonial aspects,maxku,21-May-18 09:55:11,State Visit,,18,0.28,9,9
●,5_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 14:34:22,,,9,0.14,10,10
●,5_L,GBR\London,0,London,maxku,09-May-18 14:34:34,,,6,0.09,10,10
●,5_L,GBR\May,0,Prime Minister Theresa May,maxku,09-May-18 14:34:40,,,26,0.40,10,10
●,5_L,GBR\GBR-I,0,the queen,maxku,09-May-18 14:34:49,,,9,0.14,10,10
●,5_L,Visit Trump UK,0,is expected to shake hands with Prime Minister Theresa May and to meet the queen,maxku,21-May-18 08:49:44,,,80,1.24,10,10
●,5_L,Properties\Importance\Unimportant,0,will most likely not miss out on much,maxku,21-May-18 09:55:33,State Visit,,37,0.57,10,10
●,5_L,State Visit,0,the full pageantry,maxku,21-May-18 09:55:47,,,18,0.28,10,10
●,5_L,Properties\Importance\Important & Intense,0,the full pageantry,maxku,21-May-18 09:56:09,State Visit,,18,0.28,10,10
●,5_L,GBR\GBR-I,0,Queen Elizabeth II,maxku,09-May-18 14:34:54,,,18,0.28,11,11
●,5_L,State Visit,0,state visit,maxku,21-May-18 09:56:30,,,11,0.17,11,11
●,5_L,State Visit,0,a state visit,maxku,21-May-18 09:56:38,,,13,0.20,12,12
●,5_L,GBR\May,0,Mrs. May,maxku,09-May-18 14:35:16,,,8,0.12,13,13
●,5_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 14:35:21,,,9,0.14,13,13
●,5_L,GBR,0,Britain,maxku,09-May-18 14:35:35,,,7,0.11,13,13
●,5_L,Properties\Power & Strength\Weak & Following,0,fading world power,maxku,21-May-18 09:57:04,GBR,,18,0.28,13,13
●,5_L,Properties\Other\Negative,0,wielded its fading world power through pomp and ceremony,maxku,21-May-18 09:57:27,GBR,,56,0.86,13,13
●,5_L,State Visit,0,pomp and ceremony,AnZhu,16-Jan-19 11:03:03,,,17,0.26,13,13
●,5_L,GBR\GBR-I,0,The queen,maxku,09-May-18 14:36:08,,,9,0.14,14,14
●,5_L,GBR\London,0,London,maxku,09-May-18 14:36:22,,,6,0.09,14,14
●,5_L,Properties\Power & Strength\Powerful & Leading,0,has hosted more than 100 heads of state,maxku,21-May-18 09:57:46,GBR-I,,39,0.60,14,14
●,5_L,State Visit,0,a state visit,maxku,21-May-18 09:58:28,,,13,0.20,14,14
●,5_L,GBR,0,U.K.,maxku,09-May-18 14:36:28,,,4,0.06,15,15
●,5_L,GBR,0,Mr. Westmacott,maxku,09-May-18 14:36:36,,,14,0.22,15,15
●,5_L,GBR,0,U.K.,maxku,09-May-18 14:36:41,,,4,0.06,15,15
●,5_L,Properties\Power & Strength\Powerful & Leading,0,We got Nicolas Sarkozy to,maxku,21-May-18 09:58:53,GBR,,25,0.39,15,15
●,5_L,State Visit,0,a state visit,maxku,21-May-18 09:59:10,,,13,0.20,15,15
●,5_L,Properties\Importance\Important & Intense,0,as soon as possible,maxku,21-May-18 09:59:27,State Visit,,19,0.29,15,15
●,5_L,State Visit,0,State visits,maxku,21-May-18 09:59:37,,,12,0.19,16,16
●,5_L,Properties\Other\Other,0,quite personal,maxku,21-May-18 09:59:47,State Visit,,14,0.22,16,16
●,5_L,GBR,0,Britain,maxku,09-May-18 14:36:57,,,7,0.11,17,17
●,5_L,State Visit,0,a state visit,maxku,21-May-18 10:03:30,,,13,0.20,17,17
●,5_L,GBR\London,0,London,maxku,21-May-18 10:03:38,,,6,0.09,17,17
●,5_L,State Visit,0,the pomp of a state visit,AnZhu,16-Jan-19 11:03:14,,,25,0.39,17,17
●,5_L,Properties\Importance\Important & Intense,0,the pomp of,maxku,21-May-18 10:03:53,State Visit,,11,0.17,17,17
●,5_L,GBR\GBR-I,0,the queen,maxku,21-May-18 10:04:05,,,9,0.14,17,17
●,5_L,GBR,0,Mr. Westmacott,maxku,09-May-18 14:44:03,,,14,0.22,18,18
●,5_L,State Visit,0,a full-blown state visit,maxku,21-May-18 10:04:14,,,24,0.37,18,18
●,5_L,Properties\Importance\Important & Intense,0,full-blown,maxku,21-May-18 10:04:21,State Visit,,10,0.15,18,18
●,5_L,USA,0,the United States,maxku,21-May-18 10:04:31,,,17,0.26,18,18
●,5_L,GBR\London,0,London,maxku,09-May-18 14:44:06,,,6,0.09,19,19
●,5_L,Visit Trump UK,0,proposed state visit to Britain of President Trump,maxku,09-May-18 14:44:15,,,50,0.77,19,19
