Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,6_R,USA,0,Trump administration,maxku,09-05-18 20:23,,,20,0.41,1,1
●,6_R,Migrant caravan,0,Asylum-seekers,maxku,09-05-18 20:24,,,14,0.29,2,2
●,6_R,USA,0,Trump administration,maxku,09-05-18 20:25,,,20,0.41,2,2
●,6_R,Migrant caravan,0,caravan participants,maxku,09-05-18 20:26,,,20,0.41,3,3
●,6_R,Migrant caravan,0,Migrants,maxku,09-05-18 20:27,,,8,0.17,4,4
●,6_R,USA,0,the United States,maxku,09-05-18 20:27,,,17,0.35,4,4
●,6_R,Migrant caravan,0,Immigrants,maxku,09-05-18 20:27,,,10,0.21,5,5
●,6_R,Migrant caravan,0,the migrants,maxku,09-05-18 20:28,,,12,0.25,6,6
●,6_R,USA\USA-I,0,good attorneys,maxku,09-05-18 20:28,,,14,0.29,6,6
●,6_R,USA\Trump,0,President Donald Trump,maxku,09-05-18 20:28,,,22,0.46,7,7
●,6_R,USA,0,members of his Cabinet,maxku,09-05-18 20:28,,,22,0.46,7,7
●,6_R,USA,0,U.S.,maxku,09-05-18 20:28,,,4,0.08,7,7
●,6_R,USA\Trump,0,the president,maxku,09-05-18 20:29,,,13,0.27,7,7
●,6_R,USA,0,U.S.,maxku,09-05-18 20:29,,,4,0.08,7,7
●,6_R,MEX,0,Mexico,maxku,09-05-18 20:29,,,6,0.12,3,3
●,6_R,MEX,0,Mexico,maxku,09-05-18 20:31,,,6,0.12,4,4
●,6_R,MEX,0,Mexico,maxku,09-05-18 20:31,,,6,0.12,6,6
●,6_R,MEX,0,Mexico,maxku,09-05-18 20:31,,,6,0.12,8,8
●,6_R,MEX,0,their country,maxku,09-05-18 20:32,,,13,0.27,8,8
●,6_M,Migrant caravan,0,migrants,maxku,09-05-18 20:32,,,8,0.11,1,1
●,6_M,USA,0,the United States,maxku,09-05-18 20:33,,,17,0.24,1,1
●,6_M,MEX,0,Mexico,maxku,09-05-18 20:33,,,6,0.08,3,3
●,6_M,Migrant caravan,0,200 migrants,maxku,09-05-18 20:33,,,12,0.17,3,3
