Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,7_RR,USA,0,US,maxku,10-May-18 14:15:16,,,2,0.12,1,1
●,7_RR,USA\Trump,0,US President Donald Trump,maxku,10-May-18 14:17:01,,,25,1.52,2,2
●,7_RR,EU,0,the European Union,maxku,10-May-18 14:17:11,,,18,1.09,2,2
●,7_RR,USA,0,senior administration official,maxku,10-May-18 14:17:48,,,30,1.82,2,2
●,7_RR,EU,0,the EU,maxku,10-May-18 14:18:01,,,6,0.36,3,3
●,7_RR,USA\Trump,0,Trump,maxku,10-May-18 14:19:00,,,5,0.30,5,5
●,7_RR,EU,0,the European Union,maxku,10-May-18 14:19:10,,,18,1.09,5,5
●,7_RR,USA,0,The Trump administration,maxku,10-May-18 14:19:15,,,24,1.45,6,6
●,7_RR,USA,0,the Trump administration,maxku,10-May-18 14:21:21,,,24,1.45,8,8
●,7_RR,USA\Trump,0,Trump,maxku,10-May-18 14:21:34,,,5,0.30,9,9
●,7_RR,USA\Trump,0,the US leader,maxku,10-May-18 14:21:45,,,13,0.79,9,9
●,7_RR,EU,0,The EU,maxku,10-May-18 14:25:49,,,6,0.36,7,7
●,7_RR,USA,0,The US official,maxku,10-May-18 14:26:00,,,15,0.91,8,8
●,7_R,USA,0,White House,maxku,10-May-18 14:27:02,,,11,0.17,1,1
●,7_R,EU,0,EU,maxku,10-May-18 14:27:15,,,2,0.03,1,1
●,7_R,USA,0,the White House,maxku,10-May-18 14:27:57,,,15,0.23,3,3
●,7_R,EU,0,the European Union,maxku,10-May-18 14:28:21,,,18,0.27,3,3
●,7_R,USA,0,The Trump administration,maxku,10-May-18 14:28:30,,,24,0.36,4,4
●,7_R,EU,0,the European Union,maxku,10-May-18 14:29:13,,,18,0.27,4,4
●,7_R,CAN,0,Canada,maxku,10-May-18 14:31:35,,,6,0.09,4,4
●,7_R,MEX,0,Mexico,maxku,10-May-18 14:32:46,,,6,0.09,4,4
●,7_R,MEX,0,Mexico,maxku,10-May-18 14:33:47,,,6,0.09,1,1
●,7_R,CAN,0,Canada,maxku,10-May-18 14:33:50,,,6,0.09,1,1
●,7_R,MEX,0,Mexico,maxku,10-May-18 14:33:57,,,6,0.09,3,3
●,7_R,CAN,0,Canada,maxku,10-May-18 14:34:01,,,6,0.09,3,3
●,7_R,MEX,0,Mexico,maxku,10-May-18 14:34:09,,,6,0.09,7,7
●,7_R,CAN,0,Canada,maxku,10-May-18 14:34:14,,,6,0.09,7,7
●,7_R,EU,0,the EU,maxku,10-May-18 14:34:19,,,6,0.09,7,7
●,7_R,CHN,0,China,maxku,10-May-18 14:35:26,,,5,0.08,4,4
●,7_R,CHN,0,China,maxku,10-May-18 14:35:30,,,5,0.08,1,1
●,7_R,USA,0,The White House,maxku,10-May-18 14:35:41,,,15,0.23,5,5
●,7_R,USA,0,U.S. and South Korean officials,maxku,10-May-18 14:35:51,,,31,0.47,5,5
●,7_R,KOR,0,South Korean officials,maxku,10-May-18 14:36:08,,,22,0.33,5,5
●,7_R,KOR,0,South Korea,maxku,10-May-18 14:37:48,,,11,0.17,5,5
●,7_R,USA,0,The administration,maxku,10-May-18 14:38:01,,,18,0.27,5,5
●,7_R,USA,0,White House,maxku,10-May-18 14:38:09,,,11,0.17,6,6
●,7_R,USA,0,the Administration,maxku,10-May-18 14:38:14,,,18,0.27,6,6
●,7_R,USA\Trump,0,President Trump,maxku,10-May-18 14:38:24,,,15,0.23,7,7
●,7_R,USA,0,his administration,maxku,10-May-18 14:38:46,,,18,0.27,7,7
●,7_R,USA,0,The White House,maxku,10-May-18 14:38:50,,,15,0.23,7,7
●,7_RR,MEX,0,Mexico,maxku,10-May-18 14:39:31,,,6,0.36,3,3
●,7_RR,CAN,0,Canada,maxku,10-May-18 14:39:35,,,6,0.36,3,3
●,7_RR,CAN,0,Canada,maxku,10-May-18 14:39:47,,,6,0.36,11,11
●,7_RR,USA,0,Washington,maxku,10-May-18 14:39:54,,,10,0.61,11,11
●,7_RR,MEX,0,Mexico City,maxku,10-May-18 14:39:59,,,11,0.67,11,11
●,7_RR,CAN,0,Ottawa,maxku,10-May-18 14:40:03,,,6,0.36,11,11
●,7_RR,KOR,0,the government in Seoul,maxku,10-May-18 14:40:15,,,23,1.39,10,10
●,7_RR,USA,0,Washington,maxku,10-May-18 14:40:21,,,10,0.61,10,10
●,7_RR,KOR\Moon,0,South Korean President,maxku,10-May-18 14:40:33,,,22,1.33,9,9
●,7_M,USA\Trump,0,Trump,maxku,10-May-18 14:41:33,,,5,0.17,1,1
●,7_M,CHN,0,China,maxku,10-May-18 14:41:53,,,5,0.17,2,2
●,7_M,USA\Trump,0,President Trump,maxku,10-May-18 14:43:38,,,15,0.50,3,3
●,7_M,EU,0,European leaders,maxku,10-May-18 14:44:03,,,16,0.53,3,3
●,7_M,EU,0,the European Union,maxku,10-May-18 14:44:15,,,18,0.60,4,4
●,7_M,CAN,0,Canada,maxku,10-May-18 14:44:18,,,6,0.20,4,4
●,7_M,MEX,0,Mexico,maxku,10-May-18 14:44:22,,,6,0.20,4,4
●,7_M,USA,0,the United States,maxku,10-May-18 14:44:28,,,17,0.57,4,4
●,7_M,USA,0,the administration,maxku,10-May-18 14:44:37,,,18,0.60,4,4
●,7_M,USA,0,Officials,maxku,10-May-18 14:44:51,,,9,0.30,5,5
●,7_M,USA\Trump,0,Trump,maxku,10-May-18 14:44:57,,,5,0.17,6,6
●,7_M,EU,0,the Europe Union,maxku,10-May-18 14:45:17,,,16,0.53,6,6
●,7_M,CAN,0,Canada,maxku,10-May-18 14:45:21,,,6,0.20,6,6
●,7_M,MEX,0,Mexico,maxku,10-May-18 14:45:25,,,6,0.20,6,6
●,7_M,CHN,0,China,maxku,10-May-18 14:45:45,,,5,0.17,7,7
●,7_M,USA\Trump,0,Trump,maxku,10-May-18 14:48:42,,,5,0.17,8,8
●,7_M,EU,0,European nations,maxku,10-May-18 14:48:55,,,16,0.53,8,8
●,7_M,USA,0,Trump officials,maxku,10-May-18 14:49:07,,,15,0.50,9,9
●,7_M,EU,0,Europe,maxku,10-May-18 14:49:18,,,6,0.20,9,9
●,7_M,USA\USA-Misc,0,some Republicans,maxku,10-May-18 14:49:44,,,16,0.53,9,9
●,7_M,EU,0,European officials,maxku,10-May-18 14:50:46,,,18,0.60,9,9
●,7_M,EU\EU-I,0,French President Emmanuel Macron,maxku,10-May-18 14:51:32,,,32,1.07,8,8
●,7_M,EU\EU-I,0,German Chancellor Angela Merkel,maxku,10-May-18 14:51:36,,,31,1.04,8,8
●,7_M,EU\EU-I,0,Merkel,maxku,10-May-18 14:51:43,,,6,0.20,8,8
●,7_M,USA,0,the White House,maxku,10-May-18 14:51:59,,,15,0.50,10,10
●,7_M,EU,0,European Union,maxku,10-May-18 14:52:19,,,14,0.47,10,10
●,7_M,CAN,0,Canada,maxku,10-May-18 14:52:22,,,6,0.20,10,10
●,7_M,MEX,0,Mexico,maxku,10-May-18 14:52:27,,,6,0.20,10,10
●,7_M,USA,0,The Trump administration,maxku,10-May-18 14:52:31,,,24,0.80,11,11
●,7_M,USA\Trump,0,the president,maxku,10-May-18 14:52:51,,,13,0.43,11,11
●,7_L,USA,0,White House,maxku,10-May-18 14:54:44,,,11,0.13,1,1
●,7_L,USA,0,The Trump administration,maxku,10-May-18 14:55:22,,,24,0.29,2,2
●,7_L,EU,0,E.U.,maxku,10-May-18 14:55:32,,,4,0.05,1,1
●,7_L,CAN,0,Canada,maxku,10-May-18 14:55:37,,,6,0.07,1,1
●,7_L,MEX,0,Mexico,maxku,10-May-18 14:55:41,,,6,0.07,1,1
●,7_L,EU,0,the European Union,maxku,10-May-18 14:56:06,,,18,0.22,2,2
●,7_L,CAN,0,Canada,maxku,10-May-18 14:56:12,,,6,0.07,2,2
●,7_L,MEX,0,Mexico,maxku,10-May-18 14:56:16,,,6,0.07,2,2
●,7_L,USA,0,the White House,maxku,10-May-18 14:56:23,,,15,0.18,2,2
●,7_L,USA,0,the Trump administration,maxku,10-May-18 14:56:39,,,24,0.29,3,3
●,7_L,EU,0,European Union nations,maxku,10-May-18 14:56:44,,,22,0.27,3,3
●,7_L,USA,0,the Trump administration,maxku,10-May-18 14:56:49,,,24,0.29,3,3
●,7_L,CHN,0,China,maxku,10-May-18 14:56:56,,,5,0.06,3,3
●,7_L,USA,0,The administration,maxku,10-May-18 14:57:27,,,18,0.22,4,4
●,7_L,USA,0,the White House,maxku,10-May-18 14:57:50,,,15,0.18,4,4
●,7_L,USA\Trump,0,President Trump,maxku,10-May-18 14:57:54,,,15,0.18,5,5
●,7_L,USA,0,the United States,maxku,10-May-18 14:59:15,,,17,0.21,5,5
●,7_L,EU,0,European Union leaders,maxku,10-May-18 14:59:32,,,22,0.27,5,5
●,7_L,USA\Trump,0,the president,maxku,10-May-18 14:59:38,,,13,0.16,5,5
●,7_L,USA,0,The White House,maxku,10-May-18 14:59:56,,,15,0.18,5,5
●,7_L,USA,0,advisers,maxku,10-May-18 15:00:48,,,8,0.10,5,5
●,7_L,USA,0,The Trump administration,maxku,10-May-18 15:00:54,,,24,0.29,6,6
●,7_L,EU,0,Europe,maxku,10-May-18 15:00:58,,,6,0.07,6,6
●,7_L,CAN,0,Canada,maxku,10-May-18 15:01:01,,,6,0.07,6,6
●,7_L,MEX,0,Mexico,maxku,10-May-18 15:01:05,,,6,0.07,6,6
●,7_L,USA,0,America,maxku,10-May-18 15:01:11,,,7,0.08,6,6
●,7_L,USA,0,the United States,maxku,10-May-18 15:01:17,,,17,0.21,6,6
●,7_L,USA,0,the United States,maxku,10-May-18 15:02:11,,,17,0.21,7,7
●,7_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 15:02:16,,,9,0.11,7,7
●,7_L,USA,0,the White House,maxku,10-May-18 15:02:22,,,15,0.18,7,7
●,7_L,USA,0,American negotiators,maxku,10-May-18 15:02:28,,,20,0.24,8,8
