Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,8_RR,USA\Trump,0,Trump,maxku,14-05-18 15:23,,,5,0,1,1
●,8_RR,USA\Mueller,0,Mueller,maxku,14-05-18 15:23,,,7,0.01,1,1
●,8_RR,USA\Mueller,0,Special Counsel Robert Mueller,maxku,14-05-18 15:23,,,30,0.03,2,2
●,8_RR,Inquieries for Trump,0,questions,maxku,14-05-18 15:24,,,9,0.01,2,2
●,8_RR,USA,0,the White House,maxku,14-05-18 15:24,,,15,0.01,2,2
●,8_RR,USA\Trump,0,President Donald Trump,maxku,14-05-18 15:24,,,22,0.02,2,2
●,8_RR,Inquieries for Trump,0,Trump questions,maxku,14-05-18 15:24,,,15,0.01,1,1
●,8_RR,Inquieries for Trump,0,The questions,maxku,14-05-18 15:26,,,13,0.01,3,3
●,8_RR,USA\Mueller,0,Mueller,maxku,14-05-18 15:26,,,7,0.01,3,3
●,8_RR,USA\Trump,0,Trump,maxku,14-05-18 15:26,,,5,0,3,3
●,8_RR,RUS,0,Russia,maxku,14-05-18 15:26,,,6,0.01,3,3
●,8_RR,USA\USA-Misc,0,Hillary Clinton,maxku,14-05-18 15:28,,,15,0.01,3,3
●,8_RR,USA\USA-Misc,0,election rival,maxku,14-05-18 15:28,,,14,0.01,3,3
●,8_RR,RUS\RUS-I,0,a Russian lawyer,maxku,14-05-18 15:28,,,16,0.02,3,3
●,8_RR,USA\Mueller,0,Mueller,maxku,14-05-18 15:29,,,7,0.01,4,4
●,8_RR,USA\Trump,0,Trump,maxku,14-05-18 15:29,,,5,0,4,4
●,8_RR,USA\Mueller,0,Mueller,maxku,14-05-18 15:29,,,7,0.01,4,4
●,8_RR,Inquieries for Trump,0,The questions,maxku,14-05-18 15:29,,,13,0.01,5,5
●,8_RR,USA\Mueller,0,Mueller,maxku,14-05-18 15:29,,,7,0.01,5,5
●,8_RR,USA\Trump,0,the president,maxku,14-05-18 15:30,,,13,0.01,5,5
●,8_RR,USA\Trump,0,Trump,maxku,14-05-18 15:30,,,5,0,5,5
●,8_RR,RUS,0,the Russia links,maxku,14-05-18 15:30,,,16,0.02,5,5
●,8_RR,USA\Trump,0,Trump,maxku,14-05-18 15:30,,,5,0,6,6
●,8_RR,RUS meddling investigation,0,a probe into Russian interference,maxku,14-05-18 15:31,,,33,0.03,2,2
●,8_RR,RUS meddling investigation,0,the investigation,maxku,14-05-18 15:31,,,17,0.02,4,4
●,8_RR,RUS meddling investigation,0,the year-old probe,maxku,14-05-18 15:32,,,18,0.02,6,6
●,8_RR,USA\Mueller,0,Mueller,maxku,14-05-18 15:32,,,7,0.01,6,6
●,8_RR,RUS,0,the Russians,maxku,14-05-18 15:32,,,12,0.01,6,6
●,8_RR,USA\Trump,0,Trump,maxku,14-05-18 15:32,,,5,0,6,6
●,8_R,USA\Mueller,0,Mueller,maxku,14-05-18 15:32,,,7,0,1,1
●,8_R,RUS meddling investigation,0,Russia investigation,maxku,14-05-18 15:32,,,20,0.01,1,1
●,8_R,RUS,0,Russia,maxku,14-05-18 15:32,,,6,0,1,1
●,8_R,RUS meddling investigation,0,The investigation,maxku,14-05-18 15:32,,,17,0,2,2
●,8_R,USA\Mueller,0,Special Counsel Robert Mueller,maxku,14-05-18 15:33,,,30,0.01,2,2
●,8_R,USA\Mueller,0,Mueller,maxku,14-05-18 15:33,,,7,0,3,3
●,8_R,RUS meddling investigation,0,the federal government’s probe,maxku,14-05-18 15:33,,,30,0.01,3,3
●,8_R,USA,0,the federal government,maxku,14-05-18 15:33,,,22,0.01,3,3
●,8_R,USA\Trump,0,President Trump,maxku,14-05-18 15:34,,,15,0,3,3
●,8_R,RUS,0,Russian officials,maxku,14-05-18 15:34,,,17,0,3,3
●,8_R,RUS meddling investigation,0,his investigation,maxku,14-05-18 15:34,,,17,0,3,3
●,8_R,USA,0,four Trump campaign associates,maxku,14-05-18 15:34,,,30,0.01,3,3
●,8_R,USA\Trump,0,the president,maxku,14-05-18 15:35,,,13,0,3,3
●,8_R,USA\Trump,0,Trump,maxku,14-05-18 15:35,,,5,0,4,4
●,8_R,USA\Mueller,0,Mueller,maxku,14-05-18 15:35,,,7,0,4,4
●,8_R,RUS meddling investigation,0,Mueller’s investigations,maxku,14-05-18 15:35,,,24,0.01,4,4
●,8_R,RUS,0,Russians,maxku,14-05-18 15:35,,,8,0,4,4
●,8_R,USA\Mueller,0,Mueller,maxku,14-05-18 15:35,,,7,0,5,5
●,8_R,RUS meddling investigation,0,the Russia investigation,maxku,14-05-18 15:35,,,24,0.01,5,5
●,8_R,USA,0,The Department of Justice,maxku,14-05-18 15:35,,,25,0.01,6,6
●,8_R,USA\Mueller,0,Mueller,maxku,14-05-18 15:36,,,7,0,6,6
●,8_R,RUS meddling investigation,0,the federal investigation,maxku,14-05-18 15:36,,,25,0.01,6,6
●,8_R,RUS,0,Russia,maxku,14-05-18 15:36,,,6,0,6,6
●,8_R,USA\USA-Misc,0,Democrats,maxku,14-05-18 15:37,,,9,0,7,7
●,8_R,USA,0,the Justice Department,maxku,14-05-18 15:37,,,22,0.01,7,7
●,8_R,RUS meddling investigation,0,the probe,maxku,14-05-18 15:37,,,9,0,7,7
●,8_R,USA,0,Attorney General Jeff Sessions,maxku,14-05-18 15:37,,,30,0.01,7,7
●,8_R,RUS meddling investigation,0,the investigation,maxku,14-05-18 15:37,,,17,0,7,7
●,8_R,USA\Mueller,0,Mueller,maxku,14-05-18 15:37,,,7,0,8,8
●,8_R,USA,0,the FBI,maxku,14-05-18 15:37,,,7,0,8,8
●,8_R,USA,0,presidential administrations,maxku,14-05-18 15:38,,,28,0.01,8,8
●,8_R,USA\Mueller,0,Mueller,maxku,14-05-18 15:38,,,7,0,9,9
●,8_R,RUS meddling investigation,0,this investigation,maxku,14-05-18 15:38,,,18,0,9,9
●,8_R,USA\Trump,0,Trump,maxku,14-05-18 15:38,,,5,0,9,9
●,8_R,RUS,0,the Kremlin,maxku,14-05-18 15:38,,,11,0,9,9
●,8_R,USA,0,his associates,maxku,14-05-18 15:38,,,14,0,9,9
●,8_M,USA\Mueller,0,Robert Mueller,maxku,14-05-18 15:39,,,14,0.41,1,1
●,8_M,Inquieries for Trump,0,list of questions,maxku,14-05-18 15:39,,,17,0.5,1,1
●,8_M,USA\Trump,0,Trump,maxku,14-05-18 15:39,,,5,0.15,1,1
●,8_M,USA\Trump,0,the president,maxku,14-05-18 15:39,,,13,0.38,2,2
●,8_M,USA\Mueller,0,special counsel Robert Mueller,maxku,14-05-18 15:39,,,30,0.88,2,2
●,8_M,USA\Mueller,0,Special counsel Robert Mueller,maxku,14-05-18 15:39,,,30,0.88,3,3
●,8_M,Inquieries for Trump,0,a list of almost four dozen questions,maxku,14-05-18 15:39,,,37,1.09,3,3
●,8_M,USA\Trump,0,President Trump,maxku,14-05-18 15:39,,,15,0.44,3,3
●,8_M,RUS meddling investigation,0,his investigation,maxku,14-05-18 15:40,,,17,0.5,3,3
●,8_M,USA\Trump,0,Trump,maxku,14-05-18 16:10,,,5,0.15,3,3
●,8_M,Inquieries for Trump,0,list of the questions,maxku,14-05-18 16:10,,,21,0.62,4,4
●,8_M,USA\Trump,0,Trump,maxku,14-05-18 16:10,,,5,0.15,4,4
●,8_M,USA\Trump,0,Trump,maxku,14-05-18 16:10,,,5,0.15,4,4
●,8_M,RUS,0,Russians,maxku,14-05-18 16:11,,,8,0.24,4,4
●,8_M,USA\Trump,0,the president,maxku,14-05-18 16:11,,,13,0.38,5,5
●,8_M,RUS meddling investigation,0,the investigation,maxku,14-05-18 16:12,,,17,0.5,5,5
●,8_M,Inquieries for Trump,0,the questions,maxku,14-05-18 16:12,,,13,0.38,6,6
●,8_M,USA,0,Attorney General Jeff Sessions,maxku,14-05-18 16:12,,,30,0.88,6,6
●,8_M,RUS meddling investigation,0,the Russia investigation,maxku,14-05-18 16:12,,,24,0.71,6,6
●,8_M,RUS,0,Russia,maxku,14-05-18 16:12,,,6,0.18,6,6
●,8_M,USA\Trump,0,Trump,maxku,14-05-18 16:12,,,5,0.15,6,6
●,8_M,USA\USA-I,0,Trump lawyer Jay Sekulow,maxku,14-05-18 16:13,,,24,0.71,7,7
●,8_M,USA\USA-I,0,White House lawyer Ty Cobb,maxku,14-05-18 16:13,,,26,0.77,7,7
●,8_M,USA,0,the Trump campaign,maxku,14-05-18 16:13,,,18,0.53,7,7
●,8_M,RUS,0,the Kremlin,maxku,14-05-18 16:13,,,11,0.32,7,7
●,8_M,USA\Mueller,0,Mueller,maxku,14-05-18 16:13,,,7,0.21,7,7
●,8_M,USA\Trump,0,Trump,maxku,14-05-18 16:13,,,5,0.15,7,7
●,8_M,RUS,0,Moscow,maxku,14-05-18 16:13,,,6,0.18,7,7
●,8_LL,USA\Mueller,0,Robert Mueller,maxku,14-05-18 16:14,,,14,0.45,1,1
●,8_LL,USA\Trump,0,Donald Trump,maxku,14-05-18 16:14,,,12,0.39,1,1
●,8_LL,Inquieries for Trump,0,a list of possible questions,maxku,14-05-18 16:14,,,28,0.9,2,2
●,8_LL,USA\Trump,0,the president,maxku,14-05-18 16:14,,,13,0.42,2,2
●,8_LL,USA\Mueller,0,Special counsel Robert Mueller,maxku,14-05-18 16:14,,,30,0.97,3,3
●,8_LL,USA\Trump,0,President Donald Trump,maxku,14-05-18 16:14,,,22,0.71,3,3
●,8_LL,Inquieries for Trump,0,dozens of open-ended questions,maxku,14-05-18 16:14,,,30,0.97,3,3
●,8_LL,Inquieries for Trump,0,those questions,maxku,14-05-18 16:14,,,15,0.48,4,4
●,8_LL,USA\Trump,0,Trump,maxku,14-05-18 16:15,,,5,0.16,4,4
●,8_LL,USA\Mueller,0,Mueller,maxku,14-05-18 16:15,,,7,0.23,4,4
●,8_LL,Inquieries for Trump,0,the queries,maxku,14-05-18 16:16,,,11,0.35,5,5
●,8_LL,USA\Trump,0,the president,maxku,14-05-18 16:16,,,13,0.42,5,5
●,8_LL,USA,0,the special counsel,maxku,14-05-18 16:16,,,19,0.61,5,5
●,8_LL,RUS meddling investigation,0,a tight-lipped investigation,maxku,14-05-18 16:16,,,28,0.9,6,6
●,8_LL,USA\Mueller,0,Mueller,maxku,14-05-18 16:16,,,7,0.23,6,6
●,8_LL,USA\Trump,0,the president,maxku,14-05-18 16:16,,,13,0.42,6,6
●,8_LL,Inquieries for Trump,0,the inquiries,maxku,14-05-18 16:17,,,13,0.42,6,6
●,8_LL,USA\Trump,0,Trump,maxku,14-05-18 16:17,,,5,0.16,6,6
●,8_LL,RUS,0,Russian officials,maxku,14-05-18 16:17,,,17,0.55,6,6
●,8_LL,RUS,0,the Kremlin,maxku,14-05-18 16:17,,,11,0.35,6,6
●,8_LL,USA\Trump,0,Trump,maxku,14-05-18 16:17,,,5,0.16,7,7
●,8_LL,USA\Mueller,0,Mueller,maxku,14-05-18 16:17,,,7,0.23,7,7
●,8_LL,RUS,0,the Russians,maxku,14-05-18 16:17,,,12,0.39,7,7
●,8_LL,USA,0,the special counsel,maxku,14-05-18 16:17,,,19,0.61,7,7
●,8_LL,USA\Trump,0,Trump,maxku,14-05-18 16:17,,,5,0.16,8,8
●,8_LL,RUS meddling investigation,0,the investigation,maxku,14-05-18 16:17,,,17,0.55,8,8
