Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,9_L,ISR,0,Israel,maxku,15-May-18 21:43:21,,,6,0.02,1,1
●,9_L,IRN,0,Iran,maxku,15-May-18 21:43:29,,,4,0.01,1,1
●,9_L,USA,0,U.S.,maxku,15-May-18 21:43:33,,,4,0.01,1,1
●,9_L,Nuclear deal,0,Nuclear Deal,maxku,15-May-18 21:43:37,,,12,0.04,1,1
●,9_L,ISR\Netanyahu,0,Prime Minister Benjamin Netanyahu,maxku,15-May-18 21:43:42,,,33,0.11,2,2
●,9_L,ISR,0,Israel,maxku,15-May-18 21:43:46,,,6,0.02,2,2
●,9_L,USA,0,Secretary of State,maxku,15-May-18 21:43:52,,,18,0.06,2,2
●,9_L,USA,0,Mike Pompeo,maxku,15-May-18 21:43:55,,,11,0.04,2,2
●,9_L,ISR\Netanyahu,0,The prime minister,maxku,15-May-18 21:44:01,,,18,0.06,2,2
●,9_L,USA,0,Mr. Pompeo,maxku,15-May-18 21:44:06,,,10,0.03,2,2
●,9_L,USA,0,The Trump administration,maxku,15-May-18 21:44:14,,,24,0.08,3,3
●,9_L,ISR,0,Israel,maxku,15-May-18 21:44:21,,,6,0.02,3,3
●,9_L,IRN,0,Iran,maxku,15-May-18 21:44:24,,,4,0.01,3,3
●,9_L,Nuclear deal,0,a nuclear deal,maxku,15-May-18 21:44:29,,,14,0.05,3,3
●,9_L,USA,0,The administration,maxku,15-May-18 21:44:43,,,18,0.06,4,4
●,9_L,ISR\Netanyahu,0,Prime Minister Benjamin Netanyahu,maxku,15-May-18 21:44:50,,,33,0.11,4,4
●,9_L,USA,0,the White House,maxku,15-May-18 21:44:58,,,15,0.05,4,4
●,9_L,USA\Trump,0,President Trump,maxku,15-May-18 21:45:03,,,15,0.05,4,4
●,9_L,USA\Trump,0,Mr. Trump,maxku,15-May-18 21:45:09,,,9,0.03,5,5
●,9_L,Nuclear deal,0,the deal,maxku,15-May-18 21:45:27,,,8,0.03,5,5
●,9_L,USA,0,The White House,maxku,15-May-18 21:45:35,,,15,0.05,5,5
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,15-May-18 21:45:39,,,13,0.04,5,5
●,9_L,IRN files,0,documents,maxku,15-May-18 21:45:44,,,9,0.03,5,5
●,9_L,Nuclear deal,0,the agreement,maxku,15-May-18 21:45:58,,,13,0.04,5,5
●,9_L,Nuclear deal,0,The deal,maxku,15-May-18 21:46:01,,,8,0.03,6,6
●,9_L,Nuclear deal,0,the deal,maxku,15-May-18 21:46:32,,,8,0.03,6,6
●,9_L,USA,0,the White House,maxku,15-May-18 21:46:43,,,15,0.05,7,7
●,9_L,ISR,0,the Israelis,maxku,15-May-18 21:46:50,,,12,0.04,7,7
●,9_L,ISR,0,A senior Israeli official,maxku,15-May-18 21:46:56,,,25,0.08,7,7
●,9_L,USA\Trump,0,Mr. Trump,maxku,15-May-18 21:47:21,,,9,0.03,7,7
●,9_L,ISR\Netanyahu,0,Mr. Netanyahu,maxku,15-May-18 21:47:29,,,13,0.04,7,7
●,9_L,USA,0,Secretary of State,maxku,15-May-18 21:47:34,,,18,0.06,7,7
●,9_L,USA,0,Mike Pompeo,maxku,15-May-18 21:47:37,,,11,0.04,7,7
●,9_L,Presentation,0,presentation,maxku,28-May-18 09:47:09,,,12,0.04,2,2
●,9_L,Presentation,0,a dramatic PowerPoint presentation,maxku,28-May-18 09:47:16,,,34,0.11,4,4
●,9_L,Presentation,0,Mr. Netanyahu's theatrical presentation,maxku,28-May-18 09:47:22,,,39,0.13,5,5
●,9_L,Presentation,0,Mr. Netanyahu's presentation,maxku,28-May-18 09:47:29,,,28,0.09,8,8
●,9_L,Presentation,0,Mr. Netanyahu's presentation,maxku,28-May-18 09:47:35,,,28,0.09,14,14
●,9_L,Presentation,0,The Israeli prime minister's presentation,maxku,28-May-18 09:47:42,,,41,0.13,15,15
●,9_L,Presentation,0,his presentation,maxku,28-May-18 13:03:49,,,16,0.05,24,24
●,9_L,Presentation,0,Mr. Netanyahu's presentation,maxku,28-May-18 09:48:08,,,28,0.09,27,27
●,9_L,Presentation,0,last night's presentation,maxku,28-May-18 09:48:17,,,25,0.08,28,28
●,9_L,Presentation,0,Mr. Netanyahu's presentation,maxku,28-May-18 09:48:24,,,28,0.09,29,29
●,9_L,IRN nuclear activity,0,"a robust, clandestine nuclear weapons program",maxku,28-May-18 09:49:09,,,45,0.15,10,10
●,9_L,IRN nuclear activity,0,Tehran's nuclear ambitions,maxku,28-May-18 09:49:28,,,26,0.08,15,15
●,9_L,IRN nuclear activity,0,the country's nuclear program,maxku,28-May-18 09:54:54,,,29,0.09,18,18
●,9_L,IRN nuclear activity,0,activities in Iran relevant to the development of a nuclear explosive device,maxku,28-May-18 09:55:26,,,76,0.25,19,19
●,9_L,IRN nuclear activity,0,research into nuclear weapons technology,maxku,28-May-18 09:55:46,,,40,0.13,15,15
●,9_L,IRN nuclear activity,0,work on nuclear weapons designs,maxku,28-May-18 09:56:01,,,31,0.10,18,18
●,9_L,IRN nuclear activity,0,active program to manufacture a nuclear weapon,maxku,28-May-18 09:56:11,,,46,0.15,22,22
●,9_L,Reaction to IRN deal,0,rip up the agreement,maxku,28-May-18 10:16:15,,,20,0.06,4,4
●,9_L,Reaction to IRN deal,0,President Trump's decision,maxku,28-May-18 10:16:32,,,26,0.08,4,4
●,9_L,Reaction to IRN deal,0,scrap the deal,maxku,28-May-18 10:16:43,,,14,0.05,5,5
●,9_L,Reaction to IRN deal,0,decide to reimpose sanctions,maxku,28-May-18 11:00:33,,,28,0.09,8,8
●,9_L,Reaction to IRN deal,0,lobbied Mr. Trump not to scuttle the deal,maxku,28-May-18 10:17:06,,,41,0.13,14,14
●,9_L,Reaction to IRN deal,0,Mr. Trump's decision,maxku,28-May-18 10:18:16,,,20,0.06,27,27
●,9_L,Properties\Other\Other,0,Claims on,maxku,28-May-18 10:42:45,ISR,,9,0.03,1,1
●,9_L,Properties\Power & Strength\Powerful & Leading,0,Divide,maxku,28-May-18 10:42:56,ISR,,6,0.02,1,1
●,9_L,Properties\Power & Strength\Powerful & Leading,0,briefed,maxku,28-May-18 10:48:19,Netanyahu,,7,0.02,2,2
●,9_L,Properties\Behaviour & character\Not trustworthy,0,under false pretenses,maxku,28-May-18 10:49:35,IRN,,21,0.07,3,3
●,9_L,Nuclear deal,0,the 2015 deal,maxku,28-May-18 10:49:52,,,13,0.04,3,3
●,9_L,Properties\Other\Other,0,stark divergence,maxku,28-May-18 10:50:26,USA,,16,0.05,3,3
●,9_L,Properties\Affection\Affection or empathy,0,embraced,maxku,28-May-18 10:50:48,ISR,,8,0.03,3,3
●,9_L,Properties\Affection\Affection or empathy,0,echoed the claims,AnZhu,08-Apr-19 19:12:10,Netanyahu,,17,0.06,4,4
●,9_L,Properties\Importance\Important & Intense,0,dramatic,maxku,28-May-18 10:51:10,Presentation,,8,0.03,4,4
●,9_L,Properties\Power & Strength\Powerful & Leading,0,set the stage for,maxku,28-May-18 10:51:28,"Netanyahu
USA",,17,0.06,4,4
●,9_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,rip up,maxku,28-May-18 10:51:41,Trump,,6,0.02,4,4
●,9_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,threatened to scrap,maxku,28-May-18 10:51:55,Trump,,19,0.06,5,5
●,9_L,Properties\Violence & Unfair\Victim (receiving violence),0,threatened to scrap,maxku,28-May-18 10:51:57,Nuclear deal,,19,0.06,5,5
●,9_L,Properties\Importance\Important & Intense,0,theatrical,maxku,28-May-18 10:52:24,Presentation,,10,0.03,5,5
●,9_L,Properties\Power & Strength\Powerful & Leading,0,nighttime raid,maxku,28-May-18 10:56:19,IRN,,14,0.05,5,5
●,9_L,Properties\Quality\Bad Quality,0,flaws,maxku,28-May-18 10:56:28,Nuclear deal,,5,0.02,5,5
