,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL
NewsWCL_2019_annotated_multi_doc_msma1_default_fasttext,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,0.729251701,0.875816993,0.795842613,0.372800019,0.715163878,0.490113887,0.520046863,0.09474258,0.16028441,0.482080303
NewsWCL_2019_annotated_multi_doc_msma1_default_glove,NewsWCL_2019,annotated,multi_doc,tca,default,glove,0.772357724,0.883446993,0.824175824,0.41751069,0.669825284,0.514393386,0.528801478,0.120542101,0.196330088,0.511633099
NewsWCL_2019_annotated_multi_doc_msma1_default_word2vec,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,0.728633642,0.895018388,0.803300825,0.383672913,0.756118768,0.509044407,0.545316047,0.091107681,0.156130195,0.489491809
NewsWCL_2019_annotated_multi_doc_msma21_default_fasttext,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,0.785519869,0.899625935,0.838709677,0.431117232,0.705417976,0.535166607,0.60403562,0.13723529,0.223656432,0.532510906
NewsWCL_2019_annotated_multi_doc_msma21_default_glove,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,0.792868808,0.908042394,0.846556234,0.444063504,0.721660611,0.549809575,0.611492307,0.13892943,0.226417422,0.540927743
NewsWCL_2019_annotated_multi_doc_msma21_default_word2vec,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,0.706586826,0.897959184,0.790860625,0.36276832,0.824109515,0.50377691,0.62999623,0.093814656,0.163310281,0.485982605
NewsWCL_2019_annotated_multi_doc_msma3_default_fasttext,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,fasttext,0.742242787,0.873198847,0.802412829,0.387110482,0.714575899,0.502175257,0.584370277,0.11636443,0.194081765,0.499556617
NewsWCL_2019_annotated_multi_doc_msma3_default_glove,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,glove,0.757212847,0.885423297,0.816314554,0.406281914,0.721146953,0.51974714,0.589136001,0.12064519,0.200277003,0.512112899
NewsWCL_2019_annotated_multi_doc_msma3_default_word2vec,NewsWCL_2019,annotated,multi_doc,xcoref_base,default,word2vec,0.684267828,0.902692998,0.778448676,0.376843164,0.840280267,0.520331573,0.630155617,0.084143586,0.148463146,0.482414465
NewsWCL_2019_annotated_no_coref_lemma_default_not_specified,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,0.756858847,0.938378112,0.837900297,0.367992979,0.888316748,0.520404037,0.631108316,0.077893549,0.138671755,0.49899203
NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,0.693893528,0.906271302,0.785988767,0.331315545,0.822718689,0.472394116,0.58629249,0.077605866,0.137068381,0.465150421
NewsWCL_2019_annotated_one_doc_msma1_default_word2vec,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,0.73287851,0.895192308,0.805944308,0.368356649,0.742693101,0.492463892,0.529317438,0.087580301,0.150293241,0.48290048
NewsWCL_2019_annotated_one_doc_msma1orig_default_word2vec,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,0.734190501,0.894215404,0.806340058,0.371743964,0.736988341,0.494205799,0.518913891,0.086802446,0.148726366,0.483090741
