,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support
WgACrHKUYKtWqF8mXHMuhg,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,ACTION,0.539130435,0.15270936,0.238003839,0.140532001,0.173847572,0.15542452,0.285811845,0.025071214,0.046098685,0.146509015,120
oNfUB9UwkbNQWXcFNoRj8J,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,ACTOR,0.901445466,0.701431493,0.788959172,0.715294903,0.656856361,0.684831213,0.793970477,0.321156597,0.457326995,0.643705793,797
bNmrLveeUmYRSGSnd6EdLy,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,COUNTRY,0.688007214,0.408896034,0.512941176,0.256698148,0.346942427,0.295074526,0.419216349,0.064165768,0.111296376,0.30643736,1154
9WHK97vWg9DrTdsThQb3vv,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,EVENT,0.703896104,0.407518797,0.516190476,0.429808372,0.327078453,0.371471805,0.450889504,0.086078905,0.144559994,0.344074092,406
AtoUMdzTEArUPXiBL73Jdc,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,GROUP,0.785185185,0.475336323,0.592178771,0.352289797,0.327889189,0.339651822,0.38735039,0.060366295,0.104454038,0.34542821,417
6eEZRCUveqjXZJapR7ivvJ,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,MISC,0.507692308,0.276978417,0.358417378,0.139402635,0.330854994,0.196156554,0.309862166,0.02305951,0.042924629,0.199166187,471
cLM5KFumNiZuCGqx38zPwV,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,OBJECT,0.792147806,0.645951036,0.711618257,0.372202749,0.552309158,0.44471247,0.581116485,0.086549264,0.150659829,0.435663519,447
7sqkfQ4NXnnwjnLeYYT82w,NewsWCL_2019,annotated,multi_doc,tca,default,glove,ACTION,0.643478261,0.190274841,0.293702593,0.234881823,0.134792231,0.171287352,0.399572218,0.046461886,0.083244212,0.182744719,120
C2a4EPWmXDg5UB22uYuK8c,NewsWCL_2019,annotated,multi_doc,tca,default,glove,ACTOR,0.906701708,0.646067416,0.754510662,0.744332318,0.596418043,0.66221608,0.793081145,0.339891919,0.475848687,0.630858476,797
Z6EoX58UtgjzqdeWAoFUuP,NewsWCL_2019,annotated,multi_doc,tca,default,glove,COUNTRY,0.732495512,0.408910891,0.524835662,0.279727352,0.299551983,0.289300439,0.412127338,0.072444259,0.123227443,0.312454515,1159
a6reMZmZepSFcKTAj6XpP5,NewsWCL_2019,annotated,multi_doc,tca,default,glove,EVENT,0.755844156,0.4092827,0.531021898,0.476990016,0.28466038,0.356541952,0.467865885,0.10452323,0.170872758,0.352812202,406
6AJk7ynfRNzi4gTZg2BN2V,NewsWCL_2019,annotated,multi_doc,tca,default,glove,GROUP,0.807228916,0.448684211,0.576776946,0.347018115,0.271444502,0.304613914,0.402204177,0.069948553,0.119171608,0.333520823,427
gDUcV4hy7jpfaBenEkD3ur,NewsWCL_2019,annotated,multi_doc,tca,default,glove,MISC,0.613186813,0.292146597,0.395744681,0.225055371,0.29873322,0.25671241,0.366688755,0.034110582,0.062415107,0.238290733,471
bsiGvMhwNF3QDptjsDRqKa,NewsWCL_2019,annotated,multi_doc,tca,default,glove,OBJECT,0.831408776,0.630472855,0.717131474,0.492845001,0.507713548,0.5001688,0.570637998,0.102422205,0.173672434,0.463657569,447
WEgwX4S4x5LBg9wzmNiRPz,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,ACTION,0.591304348,0.22972973,0.330900243,0.216498538,0.241704357,0.228408159,0.417716379,0.04262412,0.077354885,0.212221096,120
GjJpqyp7fPoCMC5J7KY2j4,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,ACTOR,0.902759527,0.720881427,0.801633606,0.720120919,0.678447218,0.698663184,0.783859485,0.310098258,0.444392779,0.648229856,797
PTrooKLdRTzaXS7TXgPMZk,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,COUNTRY,0.685920578,0.476489028,0.562338143,0.273433432,0.398125224,0.324203241,0.432036109,0.064376241,0.112055475,0.332865619,1153
WkCzChgMCnGgpnpoJC3CJr,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,EVENT,0.727272727,0.577319588,0.643678161,0.458630153,0.468505847,0.463515403,0.520715181,0.096770078,0.163209236,0.4234676,406
PZiQV9wD8fTpATESRMjdQ9,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,GROUP,0.750617284,0.504983389,0.603773585,0.212813564,0.403680661,0.278700811,0.445851889,0.059446919,0.104906327,0.329126907,417
ZTHRmMG8DgaZhuHxhsJUgV,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,MISC,0.494505495,0.355450237,0.413602941,0.171357432,0.468394478,0.250918751,0.351550417,0.024349812,0.045544993,0.236688895,471
TAQmwqY6nhyNPfPg9DY9QP,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,OBJECT,0.80369515,0.716049383,0.75734494,0.464746493,0.630416269,0.535050607,0.596727829,0.089829996,0.156153077,0.482849541,447
NQgxt7TevFvwwr8PW8Lqpt,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,ACTION,0.843478261,0.251948052,0.388,0.677739604,0.098922198,0.172645264,0.344296903,0.078249296,0.127517371,0.229387545,120
UqLpVt3mEVDaR7Juh8xYB8,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,ACTOR,0.921156373,0.563958166,0.699600798,0.78948415,0.517140532,0.624929651,0.854698718,0.433368364,0.575124371,0.633218273,797
kZpsPcRWoBxLyrnWtwL6zD,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,COUNTRY,0.695848375,0.378312071,0.490146217,0.251873207,0.357718473,0.295606721,0.57467494,0.085067014,0.148196976,0.311316638,1153
SqjynFANCBnr6AkrPPaATT,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,EVENT,0.774025974,0.28219697,0.413601666,0.490757156,0.210707915,0.294829839,0.475823497,0.114853947,0.185042471,0.297824659,406
CFi6tpqe8y9VS7Spy5LSod,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,GROUP,0.82962963,0.439215686,0.574358974,0.333003883,0.303501387,0.317568904,0.339579435,0.067915887,0.113193145,0.335040341,417
UatKTYA6JdZZ4P7o9NDFMm,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,MISC,0.745054945,0.307343608,0.435173299,0.358604553,0.229421693,0.2798231,0.382381172,0.0505628,0.08931531,0.268103903,471
XuvFKw9vSnGCBZM4btWe25,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,OBJECT,0.780600462,0.459863946,0.578767123,0.340799361,0.424179376,0.377945303,0.537103948,0.077520158,0.135485681,0.364066036,447
YUZXUCz9kjgm4o9x9kWS6R,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,ACTION,0.860869565,0.245049505,0.38150289,0.693474253,0.107108261,0.185556941,0.363599516,0.090899879,0.145439807,0.237499879,120
JGPSxUbjAT7XmtWbHm2qGZ,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,ACTOR,0.926412615,0.585062241,0.717192269,0.805592836,0.534177023,0.642392691,0.85165054,0.431822809,0.57307326,0.644219407,797
iiJgsQvA4UmuY8fYTycF8d,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,COUNTRY,0.688628159,0.363506432,0.475834113,0.252247972,0.360023827,0.296650214,0.58628695,0.083226854,0.145761949,0.306082092,1153
dLjiVHZCzVc969awUp69qD,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,EVENT,0.794805195,0.293666027,0.428871759,0.534717704,0.207962154,0.299458897,0.468961442,0.123102379,0.195013669,0.307781442,406
TrQS2vaLFAFj2hQwaDKqiD,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,GROUP,0.834567901,0.539936102,0.655674103,0.285328563,0.412024446,0.337167379,0.380457294,0.076091459,0.126819098,0.373220193,417
heBL6EHc6K2yg8owGxk8cn,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,MISC,0.762637363,0.333013436,0.463593854,0.363109608,0.240509747,0.289359177,0.352321219,0.053180561,0.092412123,0.281788385,471
MPKwvpUris7XQrqPYP68zP,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,OBJECT,0.799076212,0.546603476,0.649155722,0.411531769,0.488600978,0.446767047,0.555515978,0.08453504,0.14674007,0.414220947,447
hNUmpi2BkqvA29SPxEv8ai,NewsWCL_2019,annotated,multi_doc,xcoref,default,word2vec,ACTION,0.565217391,0.35326087,0.434782609,0.217975146,0.408464796,0.284257652,0.403117503,0.037325695,0.068325,0.262455087,120
