,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,index,time,mentions_num,avg_time,config
0,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,0_CIADirectorMikePompeoMeetingNorthKorea,347.1484711,392,0.885582834,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
1,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,1_ComeyMemo,256.8988054,362,0.709665208,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
2,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,2_NorthKoreaNuclearStopAnnouncement,272.6028057,417,0.653723755,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
3,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,3_DemocratsSueRUTrump,422.640226,570,0.741474081,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
4,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,4_TrumpDealIran,271.6686749,336,0.808537723,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
5,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,5_TrumpVisitUnitedKingdom,194.7051747,279,0.69786801,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
6,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,6_Asylum-SeekingMigrantCaravan,285.0596033,386,0.738496382,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
7,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,7_TrumpDelaysTariff,237.3639051,350,0.678182586,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
8,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,8_MuellerQuestionsTrump,226.8257353,315,0.720081699,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
9,NewsWCL_2019,annotated,multi_doc,tca,default,fasttext,9_Iranfiles,214.5605768,311,0.689905392,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
0,NewsWCL_2019,annotated,multi_doc,tca,default,glove,0_CIADirectorMikePompeoMeetingNorthKorea,153.0615881,392,0.390463235,NewsWCL_2019_annotated_multi_doc_tca_default_glove
1,NewsWCL_2019,annotated,multi_doc,tca,default,glove,1_ComeyMemo,200.4116834,361,0.555157018,NewsWCL_2019_annotated_multi_doc_tca_default_glove
2,NewsWCL_2019,annotated,multi_doc,tca,default,glove,2_NorthKoreaNuclearStopAnnouncement,157.8825257,417,0.37861517,NewsWCL_2019_annotated_multi_doc_tca_default_glove
3,NewsWCL_2019,annotated,multi_doc,tca,default,glove,3_DemocratsSueRUTrump,406.720067,570,0.713543977,NewsWCL_2019_annotated_multi_doc_tca_default_glove
4,NewsWCL_2019,annotated,multi_doc,tca,default,glove,4_TrumpDealIran,269.1092899,336,0.800920506,NewsWCL_2019_annotated_multi_doc_tca_default_glove
5,NewsWCL_2019,annotated,multi_doc,tca,default,glove,5_TrumpVisitUnitedKingdom,191.6836057,279,0.687038013,NewsWCL_2019_annotated_multi_doc_tca_default_glove
6,NewsWCL_2019,annotated,multi_doc,tca,default,glove,6_Asylum-SeekingMigrantCaravan,279.2995643,402,0.694775036,NewsWCL_2019_annotated_multi_doc_tca_default_glove
7,NewsWCL_2019,annotated,multi_doc,tca,default,glove,7_TrumpDelaysTariff,231.6368471,350,0.661819563,NewsWCL_2019_annotated_multi_doc_tca_default_glove
8,NewsWCL_2019,annotated,multi_doc,tca,default,glove,8_MuellerQuestionsTrump,224.0447163,315,0.711253068,NewsWCL_2019_annotated_multi_doc_tca_default_glove
9,NewsWCL_2019,annotated,multi_doc,tca,default,glove,9_Iranfiles,212.6334028,311,0.683708691,NewsWCL_2019_annotated_multi_doc_tca_default_glove
0,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,0_CIADirectorMikePompeoMeetingNorthKorea,155.8573921,392,0.397595388,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
1,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,1_ComeyMemo,205.9231294,361,0.570424181,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
2,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,2_NorthKoreaNuclearStopAnnouncement,172.8115787,417,0.414416256,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
3,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,3_DemocratsSueRUTrump,421.221287,570,0.738984714,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
4,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,4_TrumpDealIran,274.8406209,336,0.817978038,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
5,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,5_TrumpVisitUnitedKingdom,194.3162957,279,0.696474178,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
6,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,6_Asylum-SeekingMigrantCaravan,289.3270173,386,0.749551858,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
7,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,7_TrumpDelaysTariff,232.1942391,350,0.663412112,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
8,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,8_MuellerQuestionsTrump,228.9628943,315,0.726866331,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
9,NewsWCL_2019,annotated,multi_doc,tca,default,word2vec,9_Iranfiles,217.5774878,311,0.69960607,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
0,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,0_CIADirectorMikePompeoMeetingNorthKorea,356.1943411,392,0.908659033,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
1,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,1_ComeyMemo,368.7873064,361,1.021571486,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
2,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,2_NorthKoreaNuclearStopAnnouncement,279.5942547,417,0.67048982,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
3,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,3_DemocratsSueRUTrump,450.188877,570,0.789805047,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
4,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,4_TrumpDealIran,285.6920039,336,0.850273821,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
5,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,5_TrumpVisitUnitedKingdom,204.0616167,279,0.731403644,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
6,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,6_Asylum-SeekingMigrantCaravan,306.0954603,386,0.79299342,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
7,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,7_TrumpDelaysTariff,256.3450331,350,0.73241438,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
8,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,8_MuellerQuestionsTrump,241.8238323,315,0.767694706,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
9,NewsWCL_2019,annotated,multi_doc,xcoref,default,fasttext,9_Iranfiles,224.9354598,311,0.723265144,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
0,NewsWCL_2019,annotated,multi_doc,xcoref,default,glove,0_CIADirectorMikePompeoMeetingNorthKorea,172.0115601,392,0.438805,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
