,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,step,config
NewsWCL_2019_annotated_multi_doc_tca_default_fasttext,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.414337398,0.0215016,0.040881688,0.247490112,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
NewsWCL_2019_annotated_multi_doc_tca_default_fasttext,0.396298312,0.907165109,0.551619625,0.223471358,0.921027687,0.359674059,0.45563162,0.028296252,0.053283425,0.321525703,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
NewsWCL_2019_annotated_multi_doc_tca_default_fasttext,0.707947741,0.875462807,0.782844244,0.340050928,0.758468478,0.469573697,0.554222688,0.090391081,0.155431951,0.469283298,step1,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
NewsWCL_2019_annotated_multi_doc_tca_default_fasttext,0.718367347,0.880293431,0.791129757,0.359664391,0.740709645,0.484211504,0.551458801,0.092927252,0.159052328,0.478131196,step2,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
NewsWCL_2019_annotated_multi_doc_tca_default_fasttext,0.720272109,0.881158455,0.792633628,0.360470718,0.739936573,0.484775901,0.552090285,0.093609368,0.160076971,0.479162167,step3,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
NewsWCL_2019_annotated_multi_doc_tca_default_fasttext,0.729251701,0.875816993,0.795842613,0.372800019,0.715163878,0.490113887,0.519950273,0.094724983,0.16025464,0.48207038,step4,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
NewsWCL_2019_annotated_multi_doc_tca_default_fasttext,0.729251701,0.875816993,0.795842613,0.372800019,0.715163878,0.490113887,0.519950273,0.094724983,0.16025464,0.48207038,step5,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
NewsWCL_2019_annotated_multi_doc_tca_default_glove,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.414337398,0.0215016,0.040881688,0.247490112,init,NewsWCL_2019_annotated_multi_doc_tca_default_glove
NewsWCL_2019_annotated_multi_doc_tca_default_glove,0.396298312,0.906600249,0.551515152,0.225558854,0.920361279,0.362321298,0.457017013,0.028395161,0.053468259,0.322434903,step0,NewsWCL_2019_annotated_multi_doc_tca_default_glove
NewsWCL_2019_annotated_multi_doc_tca_default_glove,0.747958628,0.878516624,0.807997648,0.382883621,0.722770993,0.500585213,0.565951187,0.113521688,0.189110519,0.499231126,step1,NewsWCL_2019_annotated_multi_doc_tca_default_glove
NewsWCL_2019_annotated_multi_doc_tca_default_glove,0.756368564,0.881554011,0.814177363,0.393157646,0.705175954,0.504847194,0.565809106,0.117270571,0.194275307,0.504433288,step2,NewsWCL_2019_annotated_multi_doc_tca_default_glove
NewsWCL_2019_annotated_multi_doc_tca_default_glove,0.75748503,0.882091918,0.815053449,0.402823869,0.703718248,0.51236099,0.562278431,0.11742705,0.194280315,0.507231585,step3,NewsWCL_2019_annotated_multi_doc_tca_default_glove
NewsWCL_2019_annotated_multi_doc_tca_default_glove,0.771366358,0.882866044,0.823358512,0.420484508,0.674336235,0.517980577,0.528650725,0.120507736,0.196274117,0.512537735,step4,NewsWCL_2019_annotated_multi_doc_tca_default_glove
NewsWCL_2019_annotated_multi_doc_tca_default_glove,0.771366358,0.882866044,0.823358512,0.420484508,0.674336235,0.517980577,0.528650725,0.120507736,0.196274117,0.512537735,step5,NewsWCL_2019_annotated_multi_doc_tca_default_glove
NewsWCL_2019_annotated_multi_doc_tca_default_word2vec,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.414337398,0.0215016,0.040881688,0.247490112,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
NewsWCL_2019_annotated_multi_doc_tca_default_word2vec,0.395753947,0.906483791,0.550966275,0.223412708,0.920887165,0.359587378,0.456040264,0.028308798,0.053308461,0.321287371,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
NewsWCL_2019_annotated_multi_doc_tca_default_word2vec,0.708492107,0.893580501,0.790344618,0.362224404,0.798215208,0.49831637,0.576526656,0.087955626,0.15262638,0.480429123,step1,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
NewsWCL_2019_annotated_multi_doc_tca_default_word2vec,0.712847033,0.894467213,0.793395941,0.363770966,0.789463892,0.498049535,0.575066039,0.089223157,0.154478524,0.481974667,step2,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
NewsWCL_2019_annotated_multi_doc_tca_default_word2vec,0.716113228,0.895507148,0.795825771,0.365906961,0.782787857,0.498700823,0.573112616,0.089938635,0.155478076,0.48333489,step3,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
NewsWCL_2019_annotated_multi_doc_tca_default_word2vec,0.728633642,0.895018388,0.803300825,0.383672913,0.756118768,0.509044407,0.545703838,0.091172471,0.156241224,0.489528819,step4,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
NewsWCL_2019_annotated_multi_doc_tca_default_word2vec,0.728633642,0.895018388,0.803300825,0.383672913,0.756118768,0.509044407,0.545703838,0.091172471,0.156241224,0.489528819,step5,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.41413464,0.021491078,0.040861682,0.247483443,init,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.401741971,0.9225,0.559726962,0.22889857,0.950399179,0.368939928,0.49689689,0.030789179,0.057985412,0.328884101,step0,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.421883506,0.925373134,0.579547579,0.246322094,0.946171297,0.390883332,0.511594836,0.032812965,0.061670473,0.344033795,step1,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.45508982,0.904761905,0.605577689,0.269879454,0.909470557,0.416241853,0.515161825,0.035953729,0.067216352,0.363011965,step2,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.545998911,0.904010816,0.680807738,0.305547594,0.841548422,0.448320092,0.516387027,0.044437828,0.081833456,0.403653762,step3,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext,0.785519869,0.899625935,0.838709677,0.431117232,0.705417976,0.535166607,0.604662098,0.137377624,0.223888399,0.532588228,step4,NewsWCL_2019_annotated_multi_doc_xcoref_default_fasttext
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.286064235,0.897523484,0.433849329,0.155570783,0.959683401,0.267739319,0.41413464,0.021491078,0.040861682,0.247483443,init,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.401741971,0.9225,0.559726962,0.22889857,0.950399179,0.368939928,0.49689689,0.030789179,0.057985412,0.328884101,step0,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.421883506,0.925373134,0.579547579,0.246322094,0.946171297,0.390883332,0.511594836,0.032812965,0.061670473,0.344033795,step1,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.456722918,0.910472056,0.608301613,0.273378012,0.913042264,0.420771094,0.516369775,0.035946473,0.067213928,0.365428878,step2,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.545726728,0.910949568,0.682553191,0.303996455,0.861399281,0.449396406,0.519320359,0.044190614,0.08145036,0.404466652,step3,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
NewsWCL_2019_annotated_multi_doc_xcoref_default_glove,0.792868808,0.908042394,0.846556234,0.444063504,0.721660611,0.549809575,0.612792209,0.139224764,0.226898737,0.541088182,step4,NewsWCL_2019_annotated_multi_doc_xcoref_default_glove
