,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support,step,config
WgACrHKUYKtWqF8mXHMuhg,ACTION,0,0,0,0.041666667,0.987603306,0.079959853,0.088623855,0.003692661,0.007089908,0.029016587,120,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
oNfUB9UwkbNQWXcFNoRj8J,ACTOR,0.657030223,0.945179584,0.775193798,0.458698443,0.948375664,0.618330532,0.701549862,0.087999286,0.156382632,0.516635654,797,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
bNmrLveeUmYRSGSnd6EdLy,COUNTRY,0.268050542,0.72972973,0.392079208,0.107105049,0.889796049,0.191195796,0.466756106,0.026189557,0.04959628,0.210957095,1153,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
9WHK97vWg9DrTdsThQb3vv,EVENT,0.14025974,0.75,0.236323851,0.086316788,0.932729469,0.158010907,0.292595792,0.017966408,0.033854059,0.142729606,406,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
AtoUMdzTEArUPXiBL73Jdc,GROUP,0.17037037,0.594827586,0.26487524,0.047975788,0.878797435,0.090984501,0.325451873,0.011588791,0.022380645,0.126080128,417,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
6eEZRCUveqjXZJapR7ivvJ,MISC,0.057142857,0.216666667,0.090434783,0.037288797,0.823179272,0.071345737,0.17437156,0.006326406,0.012209825,0.057996782,471,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
cLM5KFumNiZuCGqx38zPwV,OBJECT,0.237875289,0.936363636,0.379373849,0.089312513,0.981111111,0.163721161,0.321991922,0.013258491,0.025468288,0.189521099,447,init,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
WgACrHKUYKtWqF8mXHMuhg,ACTION,0,0,0,0.041666667,0.987603306,0.079959853,0.088623855,0.003692661,0.007089908,0.029016587,120,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
oNfUB9UwkbNQWXcFNoRj8J,ACTOR,0.837056505,0.881051176,0.858490566,0.655538428,0.860098237,0.744013996,0.798667919,0.198289966,0.317702156,0.640068906,797,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
bNmrLveeUmYRSGSnd6EdLy,COUNTRY,0.44765343,0.588374852,0.508457201,0.181110543,0.683795263,0.286372297,0.49971435,0.037541145,0.069835856,0.288221785,1153,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
9WHK97vWg9DrTdsThQb3vv,EVENT,0.14025974,0.435483871,0.212180747,0.086316788,0.821576742,0.156220665,0.292595792,0.017966408,0.033854059,0.134085157,406,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
AtoUMdzTEArUPXiBL73Jdc,GROUP,0.330864198,0.650485437,0.438625205,0.08077656,0.781301887,0.146415628,0.365503659,0.016304996,0.031217394,0.205419409,417,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
6eEZRCUveqjXZJapR7ivvJ,MISC,0.057142857,0.203125,0.089193825,0.037288797,0.811596927,0.071301641,0.17437156,0.006326406,0.012209825,0.05756843,471,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
cLM5KFumNiZuCGqx38zPwV,OBJECT,0.247113164,0.938596491,0.391224863,0.098820343,0.981111111,0.179555353,0.336714719,0.01402978,0.026937178,0.199239131,447,step0,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
WgACrHKUYKtWqF8mXHMuhg,ACTION,0.530434783,0.265217391,0.353623188,0.139914717,0.294549203,0.189713192,0.256922956,0.022148531,0.040781422,0.194705934,120,step1,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
oNfUB9UwkbNQWXcFNoRj8J,ACTOR,0.900131406,0.756906077,0.822328932,0.714927673,0.707457673,0.711173057,0.793970477,0.314098211,0.450124995,0.661208995,797,step1,NewsWCL_2019_annotated_multi_doc_tca_default_fasttext
